id	author	quote
25285	Maria Bamford	As far as I can tell, comedians are pretty serious people, and that's why they make fun of things all of the time.
25286	Maria Bamford	Get out of your house and go see some live performance, for God's sake. There are people creating things just outside your window.
25287	Maria Bamford	The Internet makes everything much less mysterious.
25288	Maria Bamford	I was raised in Duluth, Minnesota, where you never say that you're cold, or that you're suffering, and you listen politely to people, even if you disagree with them completely. Then you say passive-aggressive things later.
25289	Maria Bamford	In L.A., a lot of comics live here, but we don't get to spend that much time together because we've got to drive 45 minutes home, or do another set. So in San Francisco we can hang out, go for dinner - the community aspect of it is really lovely, as well as seeing people's shows that you don't normally get to see a longer version of.
25290	Maria Bamford	In my stand up, I think I try to be less energetic because I feel embarrassed about how much enthusiasm I have. There's something about acting like I don't care, or if I act like I haven't spent enough time on it, it seems to go better. If I act like I'm really trying to sell it, it doesn't go as well.
25291	Maria Bamford	I get sort of short with people and start grumbling and clearing my throat - in honor of my father - when I'm impatient. It's very charming.
25292	Maria Bamford	My mom doesn't post on Facebook, but she'll tell anyone within about the first five minutes of meeting them about my sister and I, in whatever way she can.
25343	Marian Wright Edelman	Education is for improving the lives of others and for leaving your community and world better than you found it.
25344	Marian Wright Edelman	To all those mothers and fathers who are struggling with teen-agers, I say, just be patient: even though it looks like you can't do anything right for a number of years, parents become popular again when kids reach 20.
25345	Marian Wright Edelman	We must not, in trying to think about how we can make a big difference, ignore the small daily differences we can make which, over time, add up to big differences that we often cannot foresee.
25346	Marian Wright Edelman	So much of the deep lingering sadness over President Kennedy's assassination is about the unfinished promise: unspoken speeches, unfulfilled hopes, the wondering about what might have been.
25347	Marian Wright Edelman	The challenge of social justice is to evoke a sense of community that we need to make our nation a better place, just as we make it a safer place.
25348	Marian Wright Edelman	Service is the rent we pay for being. It is the very purpose of life, and not something you do in your spare time.
25349	Marian Wright Edelman	The Declaration of Independence was always our vision of who we wanted to be, our ideal of freedom and justice, how we were going to be different, and what the American experiment was going to be about.
25350	Marian Wright Edelman	The future which we hold in trust for our own children will be shaped by our fairness to other people's children.
25351	Marian Wright Edelman	Hunger and malnutrition have devastating consequences for children and have been linked to low birth weight and birth defects, obesity, mental and physical health problems, and poorer educational outcomes.
25352	Marian Wright Edelman	Being considerate of others will take your children further in life than any college degree.
25353	Marian Wright Edelman	You just need to be a flea against injustice. Enough committed fleas biting strategically can make even the biggest dog uncomfortable and transform even the biggest nation.
25354	Marian Wright Edelman	No person has the right to rain on your dreams.
25355	Marian Wright Edelman	Family and moral values are so central to everything that I am.
25356	Marian Wright Edelman	It was very clear to me in 1965, in Mississippi, that, as a lawyer, I could get people into schools, desegregate the schools, but if they were kicked off the plantations - and if they didn't have food, didn't have jobs, didn't have health care, didn't have the means to exercise those civil rights, we were not going to have success.
25357	Marian Wright Edelman	Learn to be quiet enough to hear the genuine within yourself so that you can hear it in others.
25358	Marian Wright Edelman	A lot of people are waiting for Martin Luther King or Mahatma Gandhi to come back - but they are gone. We are it. It is up to us. It is up to you.
25359	Marian Wright Edelman	If we think we have ours and don't owe any time or money or effort to help those left behind, then we are a part of the problem rather than the solution to the fraying social fabric that threatens all Americans.
25360	Marian Wright Edelman	If you don't like the way the world is, you change it. You have an obligation to change it. You just do it one step at a time.
25361	Marian Wright Edelman	I feel very lucky to have grown up having interaction with adults who were making change but who were far from perfect beings. That feeling of not being paralyzed by your incredible inadequacy as a human being, which I feel every day, is a part of the legacy that I've gotten from so many of the adult elders.
25362	Marian Wright Edelman	Don't feel entitled to anything you didn't sweat and struggle for.
25363	Marian Wright Edelman	If we don't stand up for children, then we don't stand for much.
25364	Marian Wright Edelman	We do not have a money problem in America. We have a values and priorities problem.
25365	Marian Wright Edelman	You didn't have a choice about the parents you inherited, but you do have a choice about the kind of parent you will be.
25366	Marian Wright Edelman	You really can change the world if you care enough.
25367	Marian Wright Edelman	Parents have become so convinced that educators know what is best for their children that they forget that they themselves are really the experts.
25368	Marianne Faithfull	I shoot my big mouth off; it just pops up! I have to learn to edit myself.
25369	Marianne Faithfull	Rebellion is the only thing that keeps you alive!
25370	Marianne Faithfull	Maybe the most that you can expect from a relationship that goes bad is to come out of it with a few good songs.
25371	Marianne Faithfull	When you are 18, 19, 20, you're used to being photographed all the time, in a certain way. So, the narcissism becomes almost out of control. And the way that young women are photographed, they become addicted to this feedback of the image.
25372	Marianne Faithfull	I know for a fact that Heaven and Hell are here on Earth.
25373	Marianne Faithfull	The voice of God, if you must know, is Aretha Franklin's.
