id	author	quote
7962	Craig Ferguson	The idea of having Australians upset at me is just awful.
7963	Craig Ferguson	I used to believe, like many people who come from poor backgrounds, that it gave me an edge, but I think that's just something we have to tell ourselves to get by sometimes. I don't believe that anymore. Children of privilege can be just as talented and clever as anybody else.
7964	Craig Ferguson	They were singing, Gillette, the best a man can get, with a lot of guys hugging their fathers and sailing and riding bikes. I suddenly felt a long way from the best a man could get and I thought it would be nice to get from there to the best.
7965	Craig Ferguson	I used to psych myself up before the show and now I do the complete opposite: I psych myself down. It's 12:30 at night, you don't want some guy yelling at you. You want some guy just talking to you.
7966	Craig Ferguson	It's like, it's kind of like if you ever had a car and it was a bit of a clunker but you love it, that's my show. It's a bit of a clunker but I know where everything is and I like it.
7967	Craig Ferguson	When I went out on tour as Bing Hitler I would hook up with Lenny and we'd get drunk together. He was always very supportive. He was a big star and a lot of what he said to me had power and impact. Apart from that, I just like him.
7968	Craig Ferguson	I'm reading a book, because I'm brainy. No, it is a book - if you don't know, it is like a blog except bigger.
7969	Craig Ferguson	I think comedy comes more from a low sense of self-esteem, and I certainly have that.
8001	DMX	I just find myself happy with the simple things. Appreciating the blessings God gave me.
8002	DMX	Every day, I get closer to God. Every day, my will to do the right thing gets stronger.
8003	DMX	An important and fundamental premise of the American judicial system is the presumption of innocence, that is until proven guilty.
8004	DMX	Do dirt, get dirt. So I treat people with the same respect that I want.
8005	DMX	The truth doesn't change. It was the same when Moses got the Ten Commandments as it is today. That's the thing about the truth. That's the thing about real. It doesn't change and it doesn't have to change. Now you can put it in a different book, but it's still real. It's still the truth.
8006	DMX	I'm a blessing to whoever gets to really know me.
8007	DMX	I'm a King. Regardless of what I've been through and what I've done, I present myself as a King. And I get that respect from people, from everybody I deal with. I worked my whole life to establish that respect and make sure I get that respect.
8008	DMX	My relationship with God has gotten so much stronger. He's always had his hand on me. He always guided me. I didn't always go where he wanted me to go. But He always had me. Now that I'm actually listening and being obedient, life is so much better.
8009	DMX	I'm not going to disrespect you, don't disrespect me.
8010	DMX	It's a waste of energy to think about what somebody else is doing and how they doing it. I'ma just do what I do.
8011	DMX	Anything that's not positive, I don't have the energy to focus on it. Anything that's not going in the right direction, I don't have the time or the energy.
8012	DMX	To me, it isn't tight sweaters. That's not what rap is. That's not hip-hop at all. Every phase went through changing up their dress styles and all that, but since Run DMC came out, it's been baggy jeans.
8013	DMX	Somebody's upset with every movie.
8014	DMX	I used to do the beat box. A friend of mine, he was the rapper and after, we'd be doing a block party or something or a house party, and he's gettin' all the attention and I'd end up with a handful of spit, you know, from doing the beats.
8015	DMX	I don't walk around big headed. I'm not a superstar.
8016	DMX	When you happy ,you get locked in sleep. You get sleepy happy. I always wanna be on point. I always wanna be aware.
8017	DMX	I can reach people the average person can't reach because I'm as grounded as I am.
8018	DMX	I don't like anything about Drake.
8019	DMX	There's a difference between violence and senseless violence.
8020	DMX	I been the same dude my whole life.
8021	DMX	I think I'm gonna wear Timberlands until I die, man. They may not be the hottest thing out, but Timbs keep reinventing themselves.
8022	DMX	I'm glad that young black people are successful with the music. I'm not a hater.
8023	DMX	I feel like Sony appreciates good music from a talented artist.
8024	DMX	I'm used to driving fast; I'm a New Yorker.
8025	DMX	My mom put me away at 7. I enjoyed it... Being in institutions, I got three meals a day, clothes.
8026	Dag Hammarskjold	Pray that your loneliness may spur you into finding something to live for, great enough to die for.
8027	Dag Hammarskjold	Never measure the height of a mountain until you have reached the top. Then you will see how low it was.
8028	Dag Hammarskjold	Friendship needs no words - it is solitude delivered from the anguish of loneliness.
8029	Dag Hammarskjold	If only I may grow: firmer, simpler, quieter, warmer.
8030	Dag Hammarskjold	The pursuit of peace and progress cannot end in a few years in either victory or defeat. The pursuit of peace and progress, with its trials and its errors, its successes and its setbacks, can never be relaxed and never abandoned.
8031	Dag Hammarskjold	Never look down to test the ground before taking your next step; only he who keeps his eye fixed on the far horizon will find the right road.
8032	Dag Hammarskjold	The more faithfully you listen to the voices within you, the better you will hear what is sounding outside.
8033	Dag Hammarskjold	'Freedom from fear' could be said to sum up the whole philosophy of human rights.
8034	Dag Hammarskjold	We are not permitted to choose the frame of our destiny. But what we put into it is ours.
8035	Dag Hammarskjold	The longest journey is the journey inwards. Of him who has chosen his destiny, Who has started upon his quest for the source of his being.
8036	Dag Hammarskjold	God does not die on the day when we cease to believe in a personal deity, but we die on the day when our lives cease to be illumined by the steady radiance, renewed daily, of a wonder, the source of which is beyond all reason.
8037	Dag Hammarskjold	To forgive oneself? No, that doesn't work: we have to be forgiven. But we can only believe this is possible if we ourselves can forgive.
8038	Dag Hammarskjold	Your position never gives you the right to command. It only imposes on you the duty of so living your life that others can receive your orders without being humiliated.
8039	Dag Hammarskjold	What makes loneliness an anguish is not that I have no one to share my burden, but this: I have only my own burden to bear.
8040	Dag Hammarskjold	Life only demands from you the strength that you possess. Only one feat is possible; not to run away.
8041	Dag Hammarskjold	Forgiveness is the answer to the child's dream of a miracle by which what is broken is made whole again, what is soiled is made clean again.
8042	Dag Hammarskjold	It is more noble to give yourself completely to one individual than to labor diligently for the salvation of the masses.
8043	Dag Hammarskjold	Constant attention by a good nurse may be just as important as a major operation by a surgeon.
8044	Dag Hammarskjold	The more we do, the more we can do; the more busy we are, the more leisure we have.
8045	Dag Hammarskjold	There is a point at which everything becomes simple and there is no longer any question of choice, because all you have staked will be lost if you look back. Life's point of no return.
8046	Dag Hammarskjold	Never, for the sake of peace and quiet, deny your own experience or convictions.
8047	Dag Hammarskjold	I am the vessel. The draft is God's. And God is the thirsty one.
8048	Dag Hammarskjold	Do not seek death. Death will find you. But seek the road which makes death a fulfillment.
8049	Dag Hammarskjold	Maturity - among other things, the unclouded happiness of the child at play, who takes it for granted that he is at one with his play-mates.
8050	Dag Hammarskjold	Never for the sake of peace and quiet deny your convictions.
8052	Daisaku Ikeda	With love and patience, nothing is impossible.
8053	Daisaku Ikeda	Japan learned from the bombings of Hiroshima and Nagasaki that the tragedy wrought by nuclear weapons must never be repeated and that humanity and nuclear weapons cannot coexist.
8054	Daisaku Ikeda	There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accident or disaster can destroy such treasures of the heart.
8055	Daisaku Ikeda	Women are, in my view, natural peacemakers. As givers and nurturers of life, through their focus on human relationships and their engagement with the demanding work of raising children and protecting family life, they develop a deep sense of empathy that cuts through to underlying human realities.
8056	Daisaku Ikeda	The determination to win is the better part of winning.
8057	Daisaku Ikeda	Genuine happiness can only be achieved when we transform our way of life from the unthinking pursuit of pleasure to one committed to enriching our inner lives, when we focus on 'being more' rather than simply having more.
8058	Daisaku Ikeda	When one takes action for others, one's own suffering is transformed into the energy that can keep one moving forward; a light of hope illuminating a new tomorrow for oneself and others is kindled.
8059	Daisaku Ikeda	It is crucial that we develop real awareness of ourselves as citizens of Earth, linked by mutual and indissoluble bonds. When we clearly recognize this reality and ground ourselves in it, we are compelled to take a strict accounting of our way of life.
8060	Daisaku Ikeda	Ultimately, all human activities have as their goal the realization of happiness. Why, then, have we ended up producing the opposite result? Could the underlying cause be our failure to correctly understand the true nature of happiness?
8061	Daisaku Ikeda	Poems and songs penned as an unstoppable outpouring of the heart take on a life of their own. They transcend the limits of nationality and time as they pass from person to person, from one heart to another.
8062	Daisaku Ikeda	The eyes of a poet discover in each person a unique and irreplaceable humanity. While arrogant intellect seeks to control and manipulate the world, the poetic spirit bows with reverence before its mysteries.
8063	Daisaku Ikeda	The reactions of the human heart are not mechanical and predictable but infinitely subtle and delicate.
8064	Daisaku Ikeda	History is filled with tragic examples of wars that result from diplomatic impasse. Whether in our local communities or in international relations, the skillful use of our communicative capacities to negotiate and resolve differences is the first evidence of human wisdom.
8065	Daisaku Ikeda	No one is born hating others.
8066	Daisaku Ikeda	A genuinely happy person is one who has rendered others happy.
8067	Daisaku Ikeda	A commitment to human rights cannot be fostered simply through the transmission of knowledge. Action and experience play a crucial role in the learning process.
8068	Daisaku Ikeda	I firmly believe that the mission of religion in the 21st century must be to contribute concretely to the peaceful coexistence of humankind.
8069	Daisaku Ikeda	We must take steps to prevent further nuclear weapons development or modernization.
8070	Daisaku Ikeda	It is natural for us, as human beings, to look forward. Our eyes naturally look ahead. In this sense, we are made for moving toward a goal.
8071	Daisaku Ikeda	You must not for one instant give up the effort to build new lives for yourselves. Creativity means to push open the heavy, groaning doorway to life.
8072	Daisaku Ikeda	Dialogue and education for peace can help free our hearts from the impulse toward intolerance and the rejection of others.
8073	Daisaku Ikeda	We are not merely passive pawns of historical forces; nor are we victims of the past. We can shape and direct history.
8074	Daisaku Ikeda	People need to be made conscious of a very simple reality: we have no choice but to share this planet, this small blue sphere floating in the vast reaches of space, with all of our fellow 'passengers.'
8075	Daisaku Ikeda	It is only through such real-life daily struggles and challenges that a genuine sensitivity to human rights can be inculcated. This is a truth that is not limited to school education: it applies to all of us.
8076	Daisaku Ikeda	The gratification of desire is not happiness.
8077	Dakota Fanning	The hardest thing is at the end you have to say bye to all these people who you have worked with for so many months. It was really sad not to see them anymore. But you have the parties that you go to and you get to see them, like the premieres and the screenings.
8078	Dakota Fanning	It's something that's always been there for me, that I have huge blue eyes - it's been something that people have always talked about.
8079	Dakota Fanning	ER was one of my favourites. I played a car accident victim who has leukemia. I got to wear a neck brace and nose tubes for the two days I worked.
8080	Dakota Fanning	My mom, she is the most unbelievable mom that you could ever have in your entire life and she's always with me on everything. The most I've ever been away from her is two days. I love her more than anybody could ever know.
8081	Dakota Fanning	I think I was a Japanese schoolgirl in another life. That's how much I love Hello Kitty.
8082	Dakota Fanning	I've been a ballerina since I was two, but I've always wanted to be an actress.
8083	Dakota Fanning	I love the feeling I get when I'm on a set; I love reading the scripts, playing the characters, getting to be someone else.
8084	Dakota Fanning	I think I really like psychology because my job is all about getting inside another person's mind and thoughts.
8085	Dakota Fanning	If I see a movie on TV that I'm in, I usually will watch it for that reason: It's like I'm watching another person.
8086	Dakota Fanning	My parents never talked to me like I was a kid. Maybe that's why I've been seen as mature.
8087	Dakota Fanning	When I go home, I play with my baby dolls and strollers and diaper bags, and play with my sisters.
