id	author	quote
33856	Shanola Hampton	Steve Howey is probably the funniest man in Hollywood. For real. He is just that person that can make you laugh at all times.
33857	Shanola Hampton	Your body can't switch off tired. People fall asleep behind the wheel all the time.
33858	Shanola Hampton	For breakfast I have grits, because I'm a Southern girl!
33859	Shanola Hampton	Eggs give me protein after a good work out. The cheesier, the better!
33860	Shanola Hampton	I love comedy, but I actually do prefer drama because I am already animated as a human being.
33861	Shanola Hampton	I would like one day to play an FBI cop, just so I can hold the gun and shoot.
33862	Shanola Hampton	I'm a TV addict.
33863	Shanola Hampton	I'm such a workaholic.
33864	Shanola Hampton	Singing and acting on a show is like theater; it doesn't get any better.
33865	Shanola Hampton	There's something so grabbing about people who will do anything for one another.
33866	Shanola Hampton	You get so used to a world that you complain, but never actually want anything different. Why crave the unfamiliar?
33867	Shanola Hampton	Teaching is so rewarding because when you see the look on student's faces when they get it, when you're able to excite them about what you're excited about; it's so rewarding, and it's so much fun.
35496	Taissa Farmiga	Admiration is great, but there is a line not to cross.
35497	Taissa Farmiga	I was hoping, actually, that being on the other side of the camera in a scary movie, see how it's filmed and maybe you won't be as scared next time you watch one... didn't really work out! Because I know it's fake, but I just get so into it.
35498	Taissa Farmiga	I get scared easily, so I'm not one for just sitting down with a bowl of popcorn and watching horror stories. But, I mean, I'm learning more. Maybe one day I'd like to be able to watch them.
35499	Taissa Farmiga	I have a rebellious teenage thing. If my mom says I can't do it, I'm gonna do it. But I'm pretty good. That's why it was fun to play Sam in 'The Bling Ring.' I got to be someone crazy and wild to the extreme, then go home and relax and get rid of the burden.
35500	Taissa Farmiga	All my friends are like, 'Can you be on my side in the zombie apocalypse?' and I'm like, 'I got this.'
35501	Taissa Farmiga	It's a crazy world, stardom. I don't even think of myself as a star. I just like to go to work.
35502	Taissa Farmiga	The horror aspect, the scary parts, are easy for me. I mean, I can get into that pretty easy, because I get scared. You have to invest yourself in these characters.
35503	Taissa Farmiga	I can't say that I fully relate to things that I play. Sometimes it's nice to spend half the day crying; then you don't have to do it in real life.
35504	Taissa Farmiga	I didn't even want to start acting when I started. At least, I never thought about it.
35505	Taissa Farmiga	I'm on Twitter. I created my account for my fans, and I do respond back once in a while, because they're so great.
35506	Taissa Farmiga	Norma Bates is insanely crazy, but you can't help but love her.
35507	Taissa Farmiga	I do make a good ragu pasta, which everyone seems to like. Or that could be just me talking; who knows what they really think. I actually stole the recipe from my older sister Vera, who also loves to cook. I took all my recipes from her.
35508	Taissa Farmiga	I'm not the biggest horror fan. I get scared so easily. If I'm just walking on set, and someone taps me on the shoulder, I scream and jump and freak out.
35509	Taissa Farmiga	'American Horror Story' is dark, so you shouldn't be expecting too much happiness.
35510	Taissa Farmiga	First off, I could never become a doctor. Blood? Even the fake blood on 'American Horror Story,' I'm kind of ready to hurl.
35511	Taissa Farmiga	I try to stay far away from anything creepy and supernatural. I'd rather not think about it.
35512	Taissa Farmiga	I'm actually pretty afraid of scary movies, so I can't watch them at night, but I am a fan during the daytime!
35513	Taissa Farmiga	If you don't have a Facebook, like, you're nobody. There's all of these sort of requirements now, and if you don't have all of these things - Facebook, Twitter, etc. - you're made fun of. And Twitter for celebrities... everything is just getting so personal. Pictures of yourself, of what you're eating for breakfast.
35514	Taissa Farmiga	Part of what made 'The Bling Ring' such a fun, freeing experience was that we got to wear these really over-the-top clothes we'd never pick in real life - like for the nightclub scenes, we'd have on these really short, really tight dresses. But you know what - I actually learned how to walk in heels on that set!
37044	Tyler Hamilton	If you like the outdoors, Colorado is a big adventure playground for adults: it's great for skiing, cycling, climbing, and hiking.
37045	Tyler Hamilton	Once you start lying, you get kind of comfortable. You start believing it. Especially if you truly believe you didn't really cheat because you were doing what everybody else was doing.
37046	Tyler Hamilton	I discovered Boulder not through cycling but skiing. I was recruited by the university for the ski team, and in my opinion, it's the best place for skiing - you have this super-light, fluffy champagne snow.
37047	Tyler Hamilton	Once in a great while I miss the racing, the feeling of winning. That rush. That adrenaline.
37048	Tyler Hamilton	I'd never really experienced the West before moving to Colorado. The East Coast, where I grew up, has a lot of big cities, like Boston and New York, and is more densely populated, and I instantly fell in love with the big open spaces of the West, where you can see not just for a few miles but for a few hundred miles.
