id	author	quote
20500	John Lennon	I'm not going to change the way I look or the way I feel to conform to anything. I've always been a freak. So I've been a freak all my life and I have to live with that, you know. I'm one of those people.
20501	John Lennon	I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.
20502	John Lennon	Music is everybody's possession. It's only publishers who think that people own it.
20503	John Lennon	Yeah we all shine on, like the moon, and the stars, and the sun.
20504	John Lennon	My role in society, or any artist's or poet's role, is to try and express what we all feel. Not to tell people how to feel. Not as a preacher, not as a leader, but as a reflection of us all.
20505	John Lennon	You don't need anybody to tell you who you are or what you are. You are what you are!
20506	John Lennon	Love is the answer, and you know that for sure; Love is a flower, you've got to let it grow.
20507	John Lennon	Christianity will go. It will vanish and shrink. I needn't argue with that; I'm right and I will be proved right. We're more popular than Jesus now; I don't know which will go first - rock and roll or Christianity.
20508	John Lennon	I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?
20509	John Lennon	If everyone demanded peace instead of another television set, then there'd be peace.
20510	John Lennon	All we are saying is give peace a chance.
20511	John Lennon	If someone thinks that love and peace is a cliche that must have been left behind in the Sixties, that's his problem. Love and peace are eternal.
20512	John Lennon	Surrealism had a great effect on me because then I realised that the imagery in my mind wasn't insanity. Surrealism to me is reality.
20513	John Lennon	He didn't come out of my belly, but my God, I've made his bones, because I've attended to every meal, and how he sleeps, and the fact that he swims like a fish because I took him to the ocean. I'm so proud of all those things. But he is my biggest pride.
20514	John Lennon	The more I see the less I know for sure.
20515	John Lennon	You have to be a bastard to make it, and that's a fact. And the Beatles are the biggest bastards on earth.
20516	John Lennon	Everything is clearer when you're in love.
20517	John Lennon	Part of me suspects that I'm a loser, and the other part of me thinks I'm God Almighty.
20623	John Nelson Darby	I can say, Christ has been my only object; thank God, my righteousness too... Hold fast to Christ.
20624	John Nelson Darby	The presence of the Holy Spirit is the keystone of all our hopes.
20625	John Nelson Darby	The Epistle is a correction of profession without life, and most valuable in this respect.
20626	John Nelson Darby	The salvation of the elect was as certain before His advent, though accomplished by it, as afterwards.
20627	John Nelson Darby	Obedience to the word in humility of mind never confuses.
20628	John Nelson Darby	Nationalism - in other words, the dividing of the church into bodies - consisting of such and such a nation, is a novelty, not above three centuries old, although many dear children of God are found dwelling in it.
