id	author	quote
10389	Edmund Burke	Good order is the foundation of all good things.
10390	Edmund Burke	You can never plan the future by the past.
10391	Edmund Burke	Whilst shame keeps its watch, virtue is not wholly extinguished in the heart.
10392	Edmund Burke	All men that are ruined, are ruined on the side of their natural propensities.
10393	Edmund Burke	To tax and to please, no more than to love and to be wise, is not given to men.
10394	Edmund Burke	Toleration is good for all, or it is good for none.
10395	Edmund Burke	When bad men combine, the good must associate; else they will fall, one by one, an unpitied sacrifice in a contemptible struggle.
10396	Edmund Burke	The use of force alone is but  temporary . It may subdue for a moment; but it does not remove the necessity of subduing again: and a nation is not governed, which is perpetually to be conquered.
15510	Henry Wadsworth Longfellow	Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.
15511	Henry Wadsworth Longfellow	In character, in manner, in style, in all things, the supreme excellence is simplicity.
15514	Henry Wadsworth Longfellow	The life of a man consists not in seeing visions and in dreaming dreams, but in active charity and in willing service.
15516	Henry Wadsworth Longfellow	Perseverance is a great element of success. If you only knock long enough and loud enough at the gate, you are sure to wake up somebody.
15517	Henry Wadsworth Longfellow	Simplicity in character, in manners, in style; in all things the supreme excellence is simplicity.
15519	Henry Wadsworth Longfellow	Look not mournfully into the past, it comes not back again. Wisely improve the present, it is thine. Go forth to meet the shadowy future without fear and with a manly heart.
15523	Henry Wadsworth Longfellow	Youth comes but once in a lifetime.
15525	Henry Wadsworth Longfellow	A single conversation across the table with a wise man is better than ten years mere study of books.
15526	Henry Wadsworth Longfellow	It is difficult to know at what moment love begins; it is less difficult to know that it has begun.
15528	Henry Wadsworth Longfellow	If we could read the secret history of our enemies we should find in each man's life sorrow and suffering enough to disarm all hostility.
15529	Henry Wadsworth Longfellow	Music is the universal language of mankind.
15534	Henry Wadsworth Longfellow	It takes less time to do a thing right, than it does to explain why you did it wrong.
15535	Henry Wadsworth Longfellow	We judge ourselves by what we feel capable of doing, while others judge us by what we have already done.
15537	Henry Wadsworth Longfellow	Most people would succeed in small things, if they were not troubled with great ambitions.
15541	Henry Wadsworth Longfellow	Hope has as many lives as a cat or a king.
15549	Henry Wadsworth Longfellow	The world loves a spice of wickedness.
15804	Horace	A picture is a poem without words.
15815	Horace	Adversity reveals genius, prosperity conceals it.
15816	Horace	Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant.
15817	Horace	Pale Death beats equally at the poor man's gate and at the palaces of kings.
15818	Horace	Wisdom is not wisdom when it is derived from books alone.
15819	Horace	Anger is a short madness.
15820	Horace	Your own safety is at stake when your neighbor's wall is ablaze.
15821	Horace	Always keep your composure. You can't score from the penalty box; and to win, you have to score.
15822	Horace	A heart well prepared for adversity in bad times hopes, and in good times fears for a change in fortune.
15823	Horace	Sad people dislike the happy, and the happy the sad; the quick thinking the sedate, and the careless the busy and industrious.
15824	Horace	Life grants nothing to us mortals without hard work.
15825	Horace	Why do you hasten to remove anything which hurts your eye, while if something affects your soul you postpone the cure until next year?
15826	Horace	The envious man grows lean at the success of his neighbor.
15827	Horace	We rarely find anyone who can say he has lived a happy life, and who, content with his life, can retire from the world like a satisfied guest.
15828	Horace	The greatest lesson in life is to know that even fools are right sometimes.
15829	Horace	Whatever advice you give, be brief.
15830	Horace	Anger is a brief madness.
15831	Horace	To have begun is to have done half the task; dare to be wise.
15832	Horace	Nothing is too high for the daring of mortals; we storm heaven itself in our folly.
15833	Horace	I struggle to be brief, and I become obscure.
15834	Horace	The mountains will be in labor, and a ridiculous mouse will be born.
15835	Horace	Many brave men lived before Agamemnon, but all are weighed down in unending night, unwept and unknown, because they lacked a sacred bard.
15836	Horace	Sometimes even excellent Homer nods.
15837	Horace	You may drive out Nature with a pitchfork, yet she will always hurry back.
15838	Horace	It is your concern when the wall next door is on fire.
15839	Horace	Sweet and glorious it is to die for one's country.
