id	author	quote
11482	Erin Cahill	I literally have people go, 'Oh my God, you're the Pink Power Ranger' and I'm like, 'I do other things!' But, you know, it's so cool! I saved the world for a year.
11483	Erin Daniels	I don't pick roles based on how famous they are going to make me; I pick roles based on how they're going to inspire me intellectually.
11484	Erin Daniels	I love a good steak with a great glass of red wine. But for the TV watching, laying around doing nothing kinds of days, nothing beats a pepperoni pizza and chocolate Haagen Daas.
11485	Erle Stanley Gardner	After you've written a story, the thing to do is sell it. Sounds simple, and it is, if one will follow certain basic principles of salesmanship.
11486	Erle Stanley Gardner	The real trouble with the writing game is that no general rule can be worked out for uniform guidance, and this applies to sales as well as to writing.
11595	Ernest Renan	To have common glories in the past, a common will in the present; to have done great things together; to wish to do greater; these are the essential conditions which make up a people.
11596	Ernest Renan	The simplest schoolboy is now familiar with truths for which Archimedes would have sacrificed his life.
11696	Eugene O'Neill	The only living life is in the past and future…the present is an interlude…strange interlude in which we call on past and future to bear witness we are living!
11697	Eugene O'Neill	The sea hates a coward.
11801	Evan G. Galbraith	The State Department desperately needs to be vigorously harnessed. It has too big a role to play in the formulation of foreign policy, and foreign policy is too important to be left up to foreign service officers.
11802	Evan G. Galbraith	There's something about the Foreign Service that takes the guts out of people.
11914	Fannie Farmer	I certainly feel that the time is not far distant when a knowledge of the principles of diet will be an essential part of one's education. Then mankind will eat to live, be able to do better mental and physical work and disease will be less frequent.
11915	Fannie Farmer	Progress in civilization has been accompanied by progress in cookery.
12036	Felix Feneon	I aspire only to silence.
12037	Felix Feneon	If Monsieur X spent an eternity studying treatises on optics, he would never paint 'La Grande Jatte.'
12038	Felix Frankfurter	It was a wise man who said that there is no greater inequality than the equal treatment of unequals.
12039	Felix Frankfurter	Fragile as reason is and limited as law is as the institutionalized medium of reason, that's all we have standing between us and the tyranny of mere will and the cruelty of unbridled, undisciplined feeling.
12314	Frank Cady	At 24, my head was as shiny as a cue ball on a billiard table. I naturally thought this meant curtains. Actually, I found it helped. When I was too young to play real character parts, they mistook me for older because of the bald noggin. I got juicy roles right from the start.
12315	Frank Cady	If you hang around long enough to show these people what you can do, you have a chance in this acting business.
