id	author	quote
6792	Cheryl James	Our attitude is that we want to cross over. You can't go on making records just for your own hometown.
6793	Cheryl James	Christians often want to hide behind the walls of the church, where we are comfortable, but sometimes we have to come out of the box.
6794	Cheryl James	Rap is hardcore street music but there are women out there who can hang with the best male rappers. What holds us back is that girls tend to rap in these high, squeaky voices. It's irritating. You've gotta rap from the diaphragm.
6795	Cheryl James	Change is not an event, it's a process.
6796	Cheryl James	They keep telling me that my flow's up to date, you know. I guess they thought I was gonna come back sounding... old.
6797	Cheryl James	But one thing that's constant is we've always appreciated fans. They put us on the map and they keep us on the map. I always put myself in their position. If I loved someone and had their posters all over my wall and met them and they were rude it would be very hurtful.
6798	Cheryl James	I'm at a point in my life where I have something solid now. I'm a peaceful person, and I want to be surrounded by peace no matter what I'm doing.
6799	Cheryl James	I don't want to give the illusion that one day God came down and I was healed.
6800	Cheryl James	For the moment, I'm concentrating on my own stuff.
6801	Cheryl James	I don't like the fact that there are so few women in rap.
6802	Cheryl James	I got to that desperate place where nobody could help me but God.
6803	Cheryl James	I'm not really into the fashion thing.
6804	Cheryl James	I'm really open to doing music. We just have to figure out what kind of music it's going to be - something where I don't feel compromised.
6805	Cheryl James	'None of Your Business.' It's the only Salt-N-Pepa song that I regret.
6806	Cheryl James	People have this impression that I'm this crazy Christian, but I'm really balanced.
6807	Cheryl James	There are a lot of good things that we can do. Maybe my example can help someone.
6808	Cheryl James	There are different kinds of people in the world.
6809	Cheryl James	We're not hard people.
6810	Cheryl James	I didn't want to get back into the whole industry. I left overworked, overwhelmed, and not having any control over my life. I was bulimic and needed to heal.
6811	Cheryl James	I remember feeling all right with myself until age 13. Then, I was getting off the bus one day and this guy called me Miss Piggy. That was the first time I ever really felt like I wasn't okay.
6812	Cheryl James	I've changed my life in a lot of ways. I'm a mom, a wife, and a Christian. Some of the things I expressed in my early 20s aren't what I care to express right now.
6813	Cheryl James	One of the speakers asked how many women had been harassed or abused sexually in their life? There were thousands of women in the audience, and almost every one of them raised her hand.
6845	Chief Joseph	The earth is the mother of all people, and all people should have equal rights upon it.
6846	Chief Joseph	It makes my heart sick when I remember all the good words and the broken promises.
6847	Chief Joseph	I believe much trouble would be saved if we opened our hearts more.
6848	Chief Joseph	The first white men of your people who came to our country were named Lewis and Clark. They brought many things that our people had never seen. They talked straight. These men were very kind.
6849	Chief Joseph	Hear me, my chiefs! I am tired. My heart is sick and sad. From where the sun now stands, I will fight no more forever.
6850	Chief Joseph	It does not require many words to speak the truth.
6851	Chief Joseph	Let me be a free man - free to travel, free to stop, free to work.
6852	Chief Joseph	I am tired of talk that comes to nothing.
6853	Chief Joseph	Treat all men alike. Give them the same law. Give them an even chance to live and grow.
6854	Chief Joseph	For a short time we lived quietly. But this could not last. White men had found gold in the mountains around the land of winding water.
6855	Chief Joseph	You might as well expect rivers to run backwards as any man born free to be contented penned up.
6856	Chief Joseph	All men were made by the Great Spirit Chief. They are all brothers.
6857	Chief Joseph	My father... had sharper eyes than the rest of our people.
6858	Chief Joseph	I said in my heart that, rather than have war, I would give up my country.
6859	Chief Joseph	An Indian respects a brave man, but he despises a coward.
6860	Chief Joseph	We gave up some of our country to the white men, thinking that then we could have peace. We were mistaken. The white man would not let us alone.
6861	Chief Joseph	I pressed my father's hand and told him I would protect his grave with my life. My father smiled and passed away to the spirit land.
6862	Chief Joseph	I hope that no more groans of wounded men and women will ever go to the ear of the Great Spirit Chief above, and that all people may be one people.
6863	Chief Joseph	We soon found that the white men were growing rich very fast, and were greedy.
6864	Chief Joseph	I only ask of the government to be treated as all other men are treated.
6865	Chief Joseph	A man who would not love his father's grave is worse than a wild animal.
6866	Chief Joseph	When an Indian fights, he only shoots to kill.
6867	Chief Joseph	From where the sun now stands I will fight no more.
6868	Chief Joseph	I will speak with a straight tongue.
6869	Chief Joseph	War can be avoided, and it ought to be avoided. I want no war.
6871	Chimamanda Ngozi Adichie	It is easy to romanticize poverty, to see poor people as inherently lacking agency and will. It is easy to strip them of human dignity, to reduce them to objects of pity. This has never been clearer than in the view of Africa from the American media, in which we are shown poverty and conflicts without any context.
6872	Chimamanda Ngozi Adichie	I have my father's lopsided mouth. When I smile, my lips slope to one side. My doctor sister calls it my cerebral palsy mouth. I am very much a daddy's girl, and even though I would rather my smile wasn't crooked, there is something moving for me about having a mouth exactly like my father's.
6873	Chimamanda Ngozi Adichie	I am drawn, as a reader, to detail-drenched stories about human lives affected as much by the internal as by the external, the kind of fiction that Jane Smiley nicely describes as 'first and foremost about how individuals fit, or don't fit, into their social worlds.'
6874	Chimamanda Ngozi Adichie	Lasting love has to be built on mutual regard and respect. It is about seeing the other person. I am very interested in relationships and, when I watch couples, sometimes I can sense a blindness has set in. They have stopped seeing each other. It is not easy to see another person.
6875	Chimamanda Ngozi Adichie	If I were not African, I wonder whether it would be clear to me that Africa is a place where the people do not need limp gifts of fish but sturdy fishing rods and fair access to the pond. I wonder whether I would realize that while African nations have a failure of leadership, they also have dynamic people with agency and voices.
6876	Chimamanda Ngozi Adichie	I am a person who believes in asking questions, in not conforming for the sake of conforming. I am deeply dissatisfied - about so many things, about injustice, about the way the world works - and in some ways, my dissatisfaction drives my storytelling.
6877	Chimamanda Ngozi Adichie	The novels I love, the ones I remember, the ones I re-read, have an empathetic human quality, or 'emotional truth'. This quality is difficult to fully define, but I always recognise it when I see it: it is different from honesty and more resilient than fact, something that exists not in the kind of fiction that explains but in the kind that shows.
6878	Chimamanda Ngozi Adichie	Perhaps it is time to debate culture. The common story is that in 'real' African culture, before it was tainted by the West, gender roles were rigid and women were contentedly oppressed.
6879	Chimamanda Ngozi Adichie	If you followed the media you'd think that everybody in Africa was starving to death, and that's not the case; so it's important to engage with the other Africa.
6880	Chimamanda Ngozi Adichie	I live half the year in Nigeria, the other half in the U.S. But home is Nigeria - it always will be. I consider myself a Nigerian who is comfortable in the world. I look at it through Nigerian eyes.
6881	Chimamanda Ngozi Adichie	I am a bit of a fundamentalist when it comes to black women's hair. Hair is hair - yet also about larger questions: self-acceptance, insecurity and what the world tells you is beautiful. For many black women, the idea of wearing their hair naturally is unbearable.
6882	Chimamanda Ngozi Adichie	I own things I like, but nothing inanimate that I treasure in a deeply consuming way.
6883	Chimamanda Ngozi Adichie	My greatest vanity is my skin. It is the colour of gingerbread and, thanks to my mother's genes, smooth and mostly blemish-free.
6884	Chimamanda Ngozi Adichie	In particular I want to talk about natural black hair, and how it's not just hair. I mean, I'm interested in hair in sort of a very aesthetic way, just the beauty of hair, but also in a political way: what it says, what it means.
6885	Chimamanda Ngozi Adichie	While writing 'Half of a Yellow Sun,' I enjoyed playing with minor things: inventing a train station in a town that has none, placing towns closer to each other than they are, changing the chronology of conquered cities. Yet I did not play with the central events of that time.
6886	Chimamanda Ngozi Adichie	I can write with authority only about what I know well, which means that I end up using surface details of my own life in my fiction.
6887	Chimamanda Ngozi Adichie	I write from real life. I am an unrepentant eavesdropper and a collector of stories. I record bits of overheard dialogue.
6888	Chimamanda Ngozi Adichie	Successful fiction does not need to be validated by 'real life'; I cringe whenever a writer is asked how much of a novel is 'real'.
6889	Chimamanda Ngozi Adichie	I would come, many years later, to understand why 'To Kill A Mockingbird' is considered 'an important novel', but when I first read it at 11, I was simply absorbed by the way it evoked the mysteries of childhood, of treasures discovered in trees, and games played with an exotic summer friend.
6890	Chimamanda Ngozi Adichie	The problem with looking in the mirror is that you never know how you will feel about what you see. Sometimes, when my hormones are out of sync, I have no interest in the mirror, and if I do look I think everything is all wrong. Other times, I am quite pleased with what I see.
6891	Chimamanda Ngozi Adichie	Americans think African writers will write about the exotic, about wildlife, poverty, maybe AIDS. They come to Africa and African books with certain expectations.
6892	Chimamanda Ngozi Adichie	I look young. I heard this said so often that it became irritating. I once worked as a babysitter for a woman who, the first time we met, said she didn't want somebody in high school. I was 22. Later, I realised that in certain places being female and looking 'young' meant it was more difficult to be taken seriously, so I turned to make-up.
