id	author	quote
10654	Eion Bailey	I've been to Bali twice and Marrakech twice. I thought Vienna was great. I will take girlfriends to places they've never been before.
10655	Eion Bailey	I've done two USO Tours, one in the Middle East and one in Asia, and spent time with the troops.
10656	Eion Bailey	I'm very interested in soldier recovery projects and in Bradley Manning's story, the army intelligence officer who's being held as a detainee and is going to trial for crimes of treason.
10657	Eknath Easwaran	Patience can't be acquired overnight. It is just like building up a muscle. Every day you need to work on it.
10658	Eknath Easwaran	It takes a lot of experience of life to see why some relationships last and others do not. But we do not have to wait for a crisis to get an idea of the future of a particular relationship. Our behavior in little every incidents tells us a great deal.
10659	Eknath Easwaran	Through meditation and by giving full attention to one thing at a time, we can learn to direct attention where we choose.
10930	Ella Baker	Give light and people will find the way.
10931	Ella Baker	One of the things that has to be faced is the process of waiting to change the system, how much we have got to do to find out who we are, where we have come from and where we are going.
10932	Ella Baker	Strong people don't need strong leaders.
10933	Ella Wheeler Wilcox	The splendid discontent of God  With Chaos, made the world; … And from the discontent of man  The world's best progress springs.
10934	Ella Wheeler Wilcox	So many gods, so many creeds,  So many paths that wind and wind,  While just the art of being kind Is all the sad world needs.
10935	Ella Wheeler Wilcox	Laugh and the world laughs with you;  Weep, and you weep alone; For the sad old earth must borrow its mirth,  But has trouble enough of its own.
11043	Embeth Davidtz	I've accepted I can't rely on my work alone; I must market myself. The truly spectacular roles do go to the girls who actively promote their popularity.
11044	Embeth Davidtz	The smartest people I know have that extra edge. The risk is always there that you'll look terribly undignified and slobbering, and inside I cringe about that, but I should be more aggressive.
11045	Embeth Davidtz	I was amazed at the rosy glow that can be around one when you're in a film that's done well.
11383	Eric Darnell	I studied science and journalism at the University of Colorado and then got interested in experimental film there and started doing my own films.
11384	Eric Darnell	I loved to watch cartoons and even made little stop-motion films in the backyard. At the time, I never really thought that it was something you could do for a living; it never actually hit me that people do that sort of thing or I would be capable of it.
11385	Eric Darnell	We're lucky enough, especially in these 'Madagascar' films, to be working with some of the best people in the industry, who are not only great actors, but great comedians and improvisers and filmmakers. And they then become a part of creating their characters.
11612	Ernst Haeckel	Both of these branches of evolutionary science, are, in my opinion, in the closest causal connection; this arises from the reciprocal action of the laws of heredity and adaptation.
11613	Ernst Haeckel	Politics is applied biology.
11614	Ernst Haeckel	The real cause of personal existence is not the favor of the Almighty, but the sexual love of one's earthly parents.
11753	Eva Gabrielsson	I'm not violent, I don't believe in killing people, but standing up for yourself, speaking out against injustice, is another form of vengeance.
11754	Eva Gabrielsson	Marriage is not common in Sweden.
11755	Eva Gabrielsson	Maybe people become bitter when they don't know what they are fighting for. But I keep my eyes open.
11803	Evelyn Waugh	I came to the conclusion many years ago that almost all crime is due to the repressed desire for aesthetic expression.
11804	Evelyn Waugh	The human mind is inspired enough when it comes to inventing horrors; it is when it tries to invent a Heaven that it shows itself cloddish.
11805	Evelyn Waugh	Punctuality is the virtue of the bored.
11898	F.H. Bradley	The secret of happiness is to admire without desiring. And that is not happiness.
11899	F.H. Bradley	The propriety of some persons seems to consist in having improper thoughts about their neighbors.
11900	F.H. Bradley	Metaphysics is the finding of bad reasons for what we believe upon instinct; but to find these reasons is no less an instinct.
12194	Francis Darwin	There seems to be one quality of mind which seems to be of special and extreme advantage in leading him to make discoveries. It was the power of never letting exceptions go unnoticed.
12195	Francis Darwin	In science, the credit goes to the man who convinces the world, not to whom the idea first occurs.
12196	Francis Darwin	In science the credit goes to the man who convinces the world, not to the man to whom the idea first occurs.
12556	Franz Halder	The left-wing, which consists of armoured and motorized forces and has no enemy in front of it, will be stopped dead in its tracks upon direct order from the Fuhrer.
12557	Franz Halder	The reason is that a military defeat of Britain will bring about the disintegration of the British Empire. This would not be of any benefit to Germany.
12558	Franz Halder	The finishing off of the encircled enemy army is to be left to the Luftwaffe.
12587	François Rabelais	I am going to seek a great perhaps.
12588	François Rabelais	Nature abhors a vacuum.
12589	François Rabelais	Everything comes in time to those who can wait.
12749	Friedrich Dürrenmatt	The more human beings proceed by plan the more effectively they may be hit by accident.
12750	Friedrich Dürrenmatt	He who confronts the paradoxical exposes himself to reality.
12751	Friedrich Dürrenmatt	What was once thought can never be unthought.
12752	Friedrich Ebert	Freedom and Justice are twin sisters.
12753	Friedrich Ebert	Thus we have at least a national song that unites all Germans, and is the symbol of our sixty-million nation.
12754	Friedrich Ebert	Without democracy there is no freedom. Violence, no matter who is using it, is always reactionary.
