id	author	quote
17266	James Gandolfini	It is a dark, dark world. If you're going to be in a dark world, I can't think of any better one to be in. I still think I'm very lucky to be in it.
17267	James Gandolfini	I'm an actor... I do a job and I go home. Why are you interested in me? You don't ask a truck driver about his job.
17268	James Gandolfini	All writers are vampires.
17269	James Gandolfini	I just don't think I'm that interesting. I don't think what I have to say is that interesting. To hear me go blah, blah, blah, blah, blah. I mean, who... cares?
17270	James Gandolfini	I want nothing to do with privilege.
17271	James Gandolfini	I like dark places.
17272	James Gandolfini	I was voted best-looking kid in high school but, as you can see, things changed. I used to say I was a 260 pound Woody Allen. You can make that 295 pound now.
17273	James Gandolfini	I lost 30 pounds to play my character in 'The Mexican', but people don't take to skinny mafia men, and I don't feel right when I'm thin.
17274	James Gandolfini	I love hearing people laugh.
17275	James Gandolfini	Putting somebody else's pants on and pretending to be somebody else is occasionally, as you grow older, horrifying.
17276	James Gandolfini	You know, all writers are vampires and they'll look around and they watch you when you're not even thinking they're watching you and they'll slip stuff in.
17277	James Gandolfini	I've been very lucky, considering what I look like and what I do.
17278	James Gandolfini	'The Sopranos' all came down to the writing. I wouldn't have been on for as long as I was if the writing weren't so good.
17279	James Gandolfini	What they say about TV shows is true. You're really a family. You laugh, you fight, you get close, you know? Movies are shorter. They're over quicker. You don't form the same bonds.
17280	James Gandolfini	I don't think I will do a Mafia character again. I want to get away from the violence a little bit, because it is starting to bother me personally.
17281	James Gandolfini	I find it hard to relax. I live in New York.
17282	James Gandolfini	I'm an angry guy.
17283	James Gandolfini	I'm not a big, three-hour-play, Ibsen-revival kind of man.
17284	James Gandolfini	Actors will say, 'My character wouldn't say that.' Who said it was your character?
17285	James Gandolfini	I dabbled a little bit in acting in high school, and then I forgot about it completely. And then at about 25 I went to a class. I don't think anybody in my family thought it was an intelligent choice. I don't think anybody thought I'd succeed, which is understandable. I think they were just happy that I was doing something.
17286	James Gandolfini	I'd love to live in New Orleans. I love the freedom of it - for good and for bad.
17287	James Gandolfini	Both my mother and father were very supportive of any career move any of us wanted to make.
17288	James Gandolfini	I have nothing but respect for HBO.
17289	James Garner	I saw my wife at a pool, flipped over her, and 14 days later we were married.
17290	James Garner	Everybody wants blockbusters. I like to see a few pictures now and then that have to do with people and have relationships, and that's what I want to do films about. I don't want to see these sci-fi movies, and I don't want to do one of those. I don't understand it.
17291	James Garner	When I started working, I didn't have a clue what I was doing, in that I was just wandering around, hoping that I could succeed. Then after I got a little under my belt, it took me about 25 years to feel like I knew what I was doing.
17292	James Garner	People who don't know me think I'm easy-going, but I'm a pessimist by nature and an old curmudgeon.
17293	James Garner	Acting is just common sense. It isn't hard if you put yourself aside and just do what the writer wrote.
17294	James Garner	You can never have too many friends.
17295	James Garner	The characters I've played, especially Bret Maverick and Jim Rockford, almost never use a gun, and they always try to use their wits instead of their fists.
17296	James Garner	The only reason I'm an actor is that a lady pulled out of a parking space in front of a producer's office.
17297	James Garner	An hour series is a killer. It's hard on you physically.
17298	James Garner	Even my stuntman is old.
17299	James Garner	I never wanted to be an actor. I got stuck in it and kind of liked what I was doing.
17300	James Garner	I spent most of my time playing pool instead of studying.
17301	James Garner	I think my attitude has always been to put food on the table.
17302	James Garner	I've had to work hard at that easy-going manner you see on screen.
17303	James Garner	In my opinion, Arnold Schwarzenegger wasn't qualified to be governor of California.
17304	James Garner	My goal has always been longevity. Not fame and fortune, just get a job and keep it.
17305	James Garner	When I'm pushed, I shove.
17306	James Garner	When people see me in something and say, 'That's just you - that's not acting,' it's the best compliment I can get.
17307	James Garner	Yeah, I don't have a whole lot of problems.
17308	James Garner	I don't take success very well, because I know it's fleeting. And the next day, it can all fall apart. I know that, too. So I don't get too high, and I don't get too low. You get through the world a lot easier that way.
17309	James Garner	I'm a Methodist, but not as an actor.
17310	James Garner	I'm working out every day. I'm in very good shape.
17311	James Garner	I don't like the crowds, I don't like to get out of the house if I don't have to.
17312	James Garner	I never finished the ninth grade.
17313	James Garner	I think people like to see a little larceny in their heroes.
17322	James Iha	I love a lot of the New York bands, but Patti Smith stands out. I just read 'Just Kids' and it's an inspirational, well-written account of an emerging New York artist in the late seventies.
17323	James Iha	There is a lot of work just in terms of traveling and logistics and people and gear and all that kind of stuff. But I never really have problems playing music. That never seems like work.
17324	James Iha	So there was something of a learning curve with doing your own thing and people seeing you outside of the band. I mean, people have never really heard my voice before - or heard a whole record of mine before. So it was a completely new experience.
17325	James Iha	I like a lot of different kinds of music. I like strong projects, big music.
17326	James Iha	I started a recording studio. I started producing people and doing remixes.
17327	James Iha	Yeah, I'm sure there are stereotypes of Asian people.
17328	James Iha	After 12 intense years of rock music, I was happy to get away from making a record and going out on a tour. When I did it, I wanted to feel inspired. After a while I finally had my fill working on other people's music, and I started coming up with music on my own and said, 'This could be for me.'
17329	James Iha	And they kind of left to find a guitar player at the very end, so you know, I don't really take it as any slight that I wasn't able to play on the record. It's flattering just to play with them period.
17330	James Iha	At some point, I had to make a decision: I could practice more and become a really great guitar player or I could work on writing better songs. There are only so many hours in the day, and I found writing songs more fulfilling than working on becoming this virtuoso guitar player.
17331	James Iha	But, yeah, as far as Asian Americans go, I hope they know they can look at me and see that they can do music on their own, within a band or just on their own, and not feel like there's any barriers. I've never felt any particular barriers myself, being who I am.
17332	James Iha	It's much easier to work on other people's music and play in other people's bands as a guitar player instead of being the main songwriter and singer. That's a really big job to do that.
17333	James Iha	You know, it's going to be a really long tour, and well, I guess I'll see what happens with A Perfect Circle, 'cause they do other projects too, and I don't know. I hope I can always do a lot of different things, do 'em well.
17334	James Iha	Well, I'm pretty domestic actually. I walk my dog. I go grocery shopping. I hang out with friends. I'm pretty normal, whatever normal is, on my off time.
17335	James Iha	Even from a listening end now, I'm still completely a fan of music.
17336	James Iha	Musicians always come off sounding a little bit pretentious, and a little bit... I don't know, hypocritical, from what they do, talking about strong issues.
17337	James Iha	My first job in NYC was playing a gig in the early nineties at CBGBs.
17338	James Iha	All the bands I've played with have had dynamic front men.
17339	James Iha	I grew up in the suburbs of Chicago.
17340	James Iha	I like the challenges of doing different things. It keeps things fresh for me.
17341	James Iha	I live most of the time in New York now. I have an apartment there.
17342	James Iha	We have a partnership deal with New Line Records, which is part of New Line Cinema, and... I worked on that.
17343	James Iha	Well, I always hope that I'm a role model.
17344	James Iha	It's not like that often, I mean, I suppose out of a ratio of 10 fans maybe like 1 or 2 of 'em might be Asian, and maybe every second or third time they might bring up something that they're Asian and I'm Asian.
17345	James Iha	I mean I like pop music, and I like heavy music and, stuff that I like... the band I've signed on to our label right now; they're called The Sounds. They're kind of like a new-wave pop band.
17346	James Iha	I play and I've played in heavy bands, but when I write for myself, I don't particularly feel like writing huge rock riffs. It just doesn't work for me and my voice.
17525	Jamie Bamber	I think that insecurity/confidence balance is necessary.
17526	Jamie Bamber	When you start a new project, you wonder whether it's the right choice.
17527	Jamie Bamber	I would have thought there's no greater country to watch rugby than New Zealand.
17528	Jamie Bamber	I never had to try as a kid to stay in shape. In a way, there was no willpower involved.
