id	author	quote
29004	Orson Scott Card	Laws against homosexual behavior should remain on the books.
29005	Orson Scott Card	You who speak languages, you are such liars.
29006	Orson Scott Card	One mind can think only of its own questions; it rarely surprises itself.
29007	Orson Scott Card	Unemployment is capitalism's way of getting you to plant a garden.
29008	Orson Scott Card	The best thing about my job, though, is stopping at the end of the day and rejoining the human universe.
29009	Orson Scott Card	I wonder sometimes if the motivation for writers ought to be contempt, not admiration.
29010	Orson Scott Card	In all my study of history, I have never found a time or place I would rather have lived than now.
29011	Orson Scott Card	But in the meantime I became accustomed to the writing life and it would be hard to change now - partly because of the salary cut if I went to my other love, teaching; and partly because I still have stories to tell, even though it isn't all that fun doing the work anymore.
29012	Orson Scott Card	I say this as a Democrat, for whom the Republican domination of government threatens many values that I hold to be important to America's role as a light among nations. But there are no values that matter to me that will not be gravely endangered if we lose this war.
29162	P. J. O'Rourke	Because of their size, parents may be difficult to discipline properly.
29163	P. J. O'Rourke	Anyway, no drug, not even alcohol, causes the fundamental ills of society. If we're looking for the source of our troubles, we shouldn't test people for drugs, we should test them for stupidity, ignorance, greed and love of power.
29164	P. J. O'Rourke	Cleanliness becomes more important when godliness is unlikely.
29165	P. J. O'Rourke	Positive rights are the right to shelter, the right to education, the right to health care, the right to a living wage. These things are - these are, I would call them, more properly, political rights rather than positive rights. And they are extremely tricky, because now we are dealing with things that are zero sum.
29166	P. J. O'Rourke	I think it's been hard for people to understand how Islam can be a good religion, and yet the Islamists are evil. Those of us who have had experience with Islam understand this, just as we understand the difference between snake handlers and people going to church on Sunday morning.
29167	P. J. O'Rourke	Not much was really invented during the Renaissance, if you don't count modern civilization.
29168	P. J. O'Rourke	The Democrats are the party that says government will make you smarter, taller, richer, and remove the crabgrass on your lawn. The Republicans are the party that says government doesn't work and then they get elected and prove it.
29169	P. J. O'Rourke	Never fight an inanimate object.
29170	P. J. O'Rourke	Most people sort of enjoy going to work because of the socialisation, a chance to flirt with co-workers and so on, but actually hate the job they do.
29171	P. J. O'Rourke	There is a simple rule here, a rule of legislation, a rule of business, a rule of life: beyond a certain point, complexity is fraud. You can apply that rule to left-wing social programs, but you can also apply that rule to credit derivatives, hedge funds, all the rest of it.
29172	P. J. O'Rourke	The problem with public school is not overcrowding in the classroom. The problem is not teacher unions. The problem is not underfunding or lack of computer equipment. The problem is your damn kids.
29173	P. J. O'Rourke	The world is being run by irresponsible spoiled brats.
29174	P. J. O'Rourke	The 20th century was a test bed for big ideas - fascism, communism, the atomic bomb.
29175	P. J. O'Rourke	Adam Smith pointed out that there were three things that make us more prosperous, in a general sort of way: freedom to pursue our own self-interest; specialization, which he called division of labor; and freedom of trade.
29176	P. J. O'Rourke	Gay marriage acceptance is happening in the blink of an eye.
29177	P. J. O'Rourke	The U.S. tax code was written by A students. Every April 15, we have to pay somebody who got an A in accounting to keep ourselves from being sent to jail.
