id	author	quote
3685	Barbara de Angelis	The more anger towards the past you carry in your heart, the less capable you are of loving in the present.
3686	Barbara de Angelis	Marriage is not a noun; it's a verb. It isn't something you get. It's something you do. It's the way you love your partner every day.
3687	Barbara de Angelis	In order to experience everyday spirituality, we need to remember that we are spiritual beings spending some time in a human body.
3688	Barbara de Angelis	Difficult times always create opportunities for you to experience more love in your life.
3689	Barbara de Angelis	We need to find the courage to say no to the things and people that are not serving us if we want to rediscover ourselves and live our lives with authenticity.
3690	Barbara de Angelis	No matter what age you are, or what your circumstances might be, you are special, and you still have something unique to offer. Your life, because of who you are, has meaning.
3691	Barbara de Angelis	What allows us, as human beings, to psychologically survive life on earth, with all of its pain, drama, and challenges, is a sense of purpose and meaning.
3692	Barbara de Angelis	No one is in control of your happiness but you; therefore, you have the power to change anything about yourself or your life that you want to change.
3693	Barbara de Angelis	The moment in between what you once were, and who you are now becoming, is where the dance of life really takes place.
3694	Barbara de Angelis	Only when your consciousness is totally focused on the moment you are in can you receive whatever gift, lesson, or delight that moment has to offer.
3695	Barbara de Angelis	If you aren't good at loving yourself, you will have a difficult time loving anyone, since you'll resent the time and energy you give another person that you aren't even giving to yourself.
3696	Barbara de Angelis	A man's brain has a more difficult time shifting from thinking to feeling than a women's brain does.
3697	Barbara de Angelis	When you make a commitment to a relationship, you invest your attention and energy in it more profoundly because you now experience ownership of that relationship.
3698	Barbara de Angelis	Love is a choice you make from moment to moment.
3699	Barbara de Angelis	I just want to get a Ph.D. in love.
3700	Barbara de Angelis	Men are just as sensitive, and in some ways more sensitive, than women are.
3701	Barbara de Angelis	Men aren't the way they are because they want to drive women crazy; they've been trained to be that way for thousands of years. And that training makes it very difficult for men to be intimate.
5228	Britt Daniel	The Futurists were an art movement in the early 20th century which basically glorified machines and the Industrial Revolution.
5229	Britt Daniel	I love playing bass. It's mostly what I play in Divine Fits.
5230	Britt Daniel	I'm usually pretty insecure.
5231	Britt Daniel	I like sparseness. There's something about that minimalist feel that can make something have an immediate impact and make it unique. I'll probably always work with that formula; I just don't know how.
5232	Britt Daniel	I get to focus on being a musician sometimes, and I get to focus on being a vocalist sometimes.
5233	Britt Daniel	I'd always listened to my parents' Bee Gees albums.
5234	Britt Daniel	I always thought of indie-rock as being rock music by bands that were on independent labels, and that's a great thing.
5235	Britt Daniel	I do go through periods of obsession with certain records.
5236	Britt Daniel	I don't like when a song goes from one mood to another unless it's going to be out of sight.
5237	Britt Daniel	I remember learning how to play 'The Fool On The Hill' on piano when I was in maybe fifth grade.
5238	Britt Daniel	I was 16 when I started playing. I borrowed a friend's acoustic guitar, and I had a Beatles chord book. I just taught myself that way.
5239	Britt Daniel	If I write the song, I get to name it.
5240	Britt Daniel	It doesn't matter what age you are, an effective song will move you.
5241	Britt Daniel	Usually, whenever my mom would come over I would try and put on music that I thought she would like just to make her feel more at ease.
5242	Britt Daniel	When we're recording, I always dress up.
5243	Britt Daniel	You know when a song has a melody or some kind of element that affects you, and that is what I am trying to go for.
5244	Britt Daniel	I just don't think you can make records easily and have them be great. It's a process. You've got to get really lucky all the time, or you've got to work like mad.
5245	Britt Daniel	I love bands that can collaborate, and I feel like the Rolling Stones wouldn't be nearly as great as they are if it wasn't for them having a real group.
5246	Britt Daniel	I wish records got made faster and looser with less thought in them, but since touring is so much more profitable than records, you spend so much time on the road that it's hard to work on them. And the records get further and further apart.
