id	author	quote
27065	Michelangelo	It is necessary to keep one's compass in one's eyes and not in the hand, for the hands execute, but the eye judges.
27066	Michelangelo	Genius is eternal patience.
27067	Michelangelo	Every beauty which is seen here by persons of perception resembles more than anything else that celestial source from which we all are come.
27068	Michelangelo	What spirit is so empty and blind, that it cannot recognize the fact that the foot is more noble than the shoe, and skin more beautiful than the garment with which it is clothed?
27069	Michelangelo	Death and love are the two wings that bear the good man to heaven.
27070	Michelangelo	From such a gentle thing, from such a fountain of all delight, my every pain is born.
27071	Michelangelo	The greatest artist has no conception which a single block of white marble does not potentially contain within its mass, but only a hand obedient to the mind can penetrate to this image.
27072	Michelangelo	The marble not yet carved can hold the form of every thought the greatest artist has.
27073	Michele Bachmann	If we look at American history, between 1942 and 1947, the data that was collected by the Census Bureau was handed over to the FBI and other organizations at the request of President Roosevelt, and that's how the Japanese were rounded up and put into the internment camps.
27074	Michele Bachmann	Small business is the backbone of our economy. I'm for big business, too. But small business is where the jobs are generated.
27075	Michele Bachmann	I was born into a Christian family and brought up in a Lutheran church. My faith has been the center point of my life, really, since I was a child, but at 16 years of age, I fully surrendered my life over to Christ. At that point, as a teenager, I began to grasp the concept of Christ's true love and forgiveness.
27076	Michele Bachmann	The Holy Spirit is our comforter, our teacher. That's why, in prayer, we can ask the Lord to open up Scripture and make it come alive to us, to open our understanding. He left his Spirit with us until we join him in Heaven.
27077	Michele Bachmann	Literally, if we took away the minimum wage - if conceivably it was gone - we could potentially virtually wipe out unemployment completely because we would be able to offer jobs at whatever level.
27078	Michele Bachmann	Where do we say that a cell became a blade of grass, which became a starfish, which became a cat, which became a donkey, which became a human being? There's a real lack of evidence from change from actual species to a different type of species.
27079	Michele Bachmann	I'm not only a lawyer, I have a post doctorate degree in federal tax law from William and Mary. I work in serious scholarship and work in the United States federal tax court. My husband and I raised five kids. We've raised 23 foster children. We've applied ourselves to education reform. We started a charter school for at-risk kids.
27080	Michele Bachmann	Certainly people make mistakes in their life. I'm no different, I've made mistakes. When people mess up, we forgive them. When I mess up, I ask for forgiveness.
27081	Michele Bachmann	All of the problems we're facing with debt are manmade problems. We created them. It's called fantasy economics. Fantasy economics only works in a fantasy world. It doesn't work in reality.
27082	Michele Bachmann	I am a fighter. I'm not just there to go along and get along.
27083	Michele Bachmann	It's tough to find a place not to like in Switzerland.
27084	Michele Bachmann	My future is full - it is limitless - and my passions for America will remain.
27085	Michele Bachmann	The Tea Party is an organic, spontaneous movement that rose up in opposition to to the Pelosi-Reid-Obama agenda.
27086	Michele Bachmann	When it comes to personnel issues, I act professionally and respectful of former employees. I just assume that's a two-way street. It's disappointing when it's not.
27087	Michele Bachmann	What I want to do is to make sure that we fully repeal Obamacare. This will be one of the largest spending initiatives we will ever see in our country. And also, it will take away choice from the American people.
27088	Michele Bachmann	I want to be America's Margaret Thatcher. I will be the next Iron Lady.
27089	Michele Bachmann	Deprivation sometimes can be one of the most marvelous teachers.
27090	Michele Bachmann	I think what separates me from the candidates is the fact that I have a proven track record of being a fighter. A fighting for what people believe in, whether it is popular or not. Despite the opposition, I stand true. Because people know that I will do what I say. And that I say what I do.
27091	Michele Bachmann	You can't take money from the taxpayers out of the treasury to give it to pay off your political donors. That's corruption to do that.
27092	Michele Bachmann	The government has no business telling an individual what kind of light bulb to buy.
27093	Michele Bachmann	The biased left-wing media does what it wants. That's not going to define me or hamper me.
27094	Michele Bachmann	I am convinced in my heart and in my mind that if the United States fails to stand with Israel, that is the end of the United States. We have to show that we are inextricably entwined, that as a nation we have been blessed because of our relationship with Israel, and if we reject Israel, then there is a curse that comes into play.
27095	Michele Bachmann	Morals are built on religious faith. Virtue is built on morality and influences a culture.
27096	Michele Bachmann	I get how devastating high taxes are to job creation.
27097	Michele Bachmann	A normal way that the American free market system has worked is that we have a process of unwinding. It's called bankruptcy. It doesn't mean, necessarily, that the industry is eclipsed or that it's gone. Often times, the phoenix rises out of the ashes.
27098	Michelle Bachelet	I took a gamble to exercise leadership without losing my feminine nature.
27099	Michelle Bachelet	You all want to know what is my dream? Very simple. To walk along the beach, holding the hand of my lover.
27100	Michelle Bachelet	During my lifetime, I realized that discrimination was not accidental, that there were structural roots and causes to it. So if we wanted to change women's lives, we need to deal with those root causes.
27101	Michelle Bachelet	One of the factors a country's economy depends on is human capital. If you don't provide women with adequate access to healthcare, education and employment, you lose at least half of your potential. So, gender equality and women's empowerment bring huge economic benefits.
27102	Michelle Bachelet	Chile has done a lot to rid itself of poverty, especially extreme poverty, since the return to democracy. But we still have a ways to go toward greater equity. This country does not have a neoliberal economic model anymore. We have put in place a lot of policies that will ensure that economic growth goes hand in hand with social justice.
27103	Michelle Bachelet	My message to women is: Women: We can do it. We are capable of doing almost anything, but we must learn we cannot do it all at once, we need to prioritize.
27104	Michelle Bachelet	Because I'm a doctor, I know when you have an injury it will heal if it's clean enough to heal; if your injury is dirty, it won't heal. And so when you are talking in societies, we are also talking in healing processes, and for a good healing process, you need to make things right.
27105	Michelle Bachelet	U.N. Women was created due to the acknowledgement that gender equality and women's empowerment was still, despite progress, far from what it should be. Transforming political will and decisions, such as the Member States creating U.N. Women, into concrete steps towards gender equality and women's empowerment, I think is one of the main challenges.
27106	Michelle Bachelet	Having experienced personally and through my family the tragedy of Chile is something always present in my memory. I do not want events of that nature ever to happen again, and I have dedicated an important part of my life to ensuring that and to the reunion of all Chileans.
27107	Michelle Bachelet	Gender equality will only be reached if we are able to empower women.
27108	Michelle Bachelet	I don't like stereotypes - no kind of stereotypes.
27109	Michelle Bachelet	My father respected and admired my mother and was a person who was always standing by my side, encouraging me to do more and believed in my capacity. So in that sense, my own experience was very good in becoming an empowered woman. From early on, I carried that strong message: 'You can do it.' So I never had any doubt that women can do a lot.
27110	Michelle Bachelet	The respect for human rights is nowadays not so much a matter of having international standards, but rather questions of compliance with those standards.
27111	Michelle Bachelet	Educational equality doesn't guarantee equality on the labor market. Even the most developed countries are not gender-equal. There are still glass ceilings and 'leaky pipelines' that prevent women from getting ahead in the workplace.
27112	Michelle Bachelet	I believe that if you want to fight inequality you have to do it starting at infancy.
27113	Michelle Bachelet	My top priority for 2012 will be to make a renewed push for women's economic empowerment and political participation.
27114	Michelle Bachelet	I'm working for the women in the world, today; that's my essential issue.
27115	Michelle Bachelet	As the old joke goes, I have all the sins together. I am a woman, a Socialist, separated and agnostic.
27116	Michelle Bachelet	For me, a better democracy is a democracy where women do not only have the right to vote and to elect but to be elected.
27117	Michelle Bachelet	In artillery exercises, women always win because they're more accurate.
27118	Michelle Bachelet	We have had scarce investment in women... One of my tasks is that everyone spends much more on women.
27119	Michelle Bachelet	In today's interdependent world, a threat to one becomes a menace to all. And no state can defeat these challenges and threats alone.
27120	Michelle Bachelet	The United Nations should become a proactive agent in the dissemination of democratic principles.
27121	Michelle Bachelet	You have to be doing things that matter - responsibility, but also responsibility with epic and beautiful and noble tasks.
27122	Michelle Bachelet	There is no city or country in the world where women and girls live free of the fear of violence. No leader can claim: 'this is not happening in my backyard.'
27139	Michelle Obama	You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.
27140	Michelle Obama	We learned about honesty and integrity - that the truth matters... that you don't take shortcuts or play by your own set of rules... and success doesn't count unless you earn it fair and square.
27141	Michelle Obama	And in my own life, in my own small way, I've tried to give back to this country that has given me so much. That's why I left a job at a law firm for a career in public service, working to empower young people to volunteer in their communities. Because I believe that each of us - no matter what our age or background or walk of life - each of us has something to contribute to the life of this nation.
27142	Michelle Obama	We can make a commitment to promote vegetables and fruits and whole grains on every part of every menu. We can make portion sizes smaller and emphasize quality over quantity. And we can help create a culture - imagine this - where our kids ask for healthy options instead of resisting them.
27143	Michelle Obama	We learned about gratitude and humility - that so many people had a hand in our success, from the teachers who inspired us to the janitors who kept our school clean... and we were taught to value everyone's contribution and treat everyone with respect.
27144	Michelle Obama	I never cut class. I loved getting A's, I liked being smart. I liked being on time. I thought being smart is cooler than anything in the world.
27145	Michelle Obama	Success is only meaningful and enjoyable if it feels like your own.
27146	Michelle Obama	If my future were determined just by my performance on a standardized test, I wouldn't be here. I guarantee you that.
27147	Michelle Obama	One of the lessons that I grew up with was to always stay true to yourself and never let what somebody else says distract you from your goals. And so when I hear about negative and false attacks, I really don't invest any energy in them, because I know who I am.
27148	Michelle Obama	One of the lessons that I grew up with was to always stay true to yourself and never let what somebody else says distract you from your goals.
27149	Michelle Obama	Exercise is really important to me - it's therapeutic. So if I'm ever feeling tense or stressed or like I'm about to have a meltdown, I'll put on my iPod and head to the gym or out on a bike ride along Lake Michigan with the girls.
27150	Michelle Obama	The problem is when that fun stuff becomes the habit. And I think that's what's happened in our culture. Fast food has become the everyday meal.
27151	Michelle Obama	Women in particular need to keep an eye on their physical and mental health, because if we're scurrying to and from appointments and errands, we don't have a lot of time to take care of ourselves. We need to do a better job of putting ourselves higher on our own 'to do' list.
27152	Michelle Obama	And I love that even in the toughest moments, when we're all sweating it - when we're worried that the bill won't pass, and it seems like all is lost - Barack never lets himself get distracted by the chatter and the noise. Just like his grandmother, he just keeps getting up and moving forward... with patience and wisdom, and courage and grace.
27153	Michelle Obama	Whether you come from a council estate or a country estate, your success will be determined by your own confidence and fortitude.
27154	Michelle Obama	The fact is, with every friendship you make, and every bond of trust you establish, you are shaping the image of America projected to the rest of the world. That is so important. So when you study abroad, you're actually helping to make America stronger.
27155	Michelle Obama	Choose people who lift you up.
27156	Michelle Obama	Every day, the people I meet inspire me... every day, they make me proud... every day they remind me how blessed we are to live in the greatest nation on earth.
27157	Michelle Obama	My mother's love has always been a sustaining force for our family, and one of my greatest joys is seeing her integrity, her compassion, her intelligence reflected in my daughters.
27158	Michelle Obama	We learned about dignity and decency - that how hard you work matters more than how much you make... that helping others means more than just getting ahead yourself.
27159	Michelle Obama	My experiences at Princeton have made me far more aware of my 'blackness' than ever before. I have found that at Princeton, no matter how liberal and open-minded some of my white professors and classmates try to be toward me, I sometimes feel like a visitor on campus; as if I really don't belong.
27160	Michelle Obama	At the end of the day, when it comes time to make that decision, as president, all you have to guide you are your values, and your vision, and the life experiences that make you who you are.
27161	Michelle Obama	There are still many causes worth sacrificing for, so much history yet to be made.
27162	Michelle Obama	You see, at the end of the day, my most important title is still 'mom-in-chief.' My daughters are still the heart of my heart and the center of my world.
27163	Michelle Obama	Sometimes, it's just easier to say yes to that extra snack or dessert, because frankly, it is exhausting to keep saying no. It's exhausting to plead with our kids to eat just one more bite of vegetables.
27170	Mick Jagger	The past is a great place and I don't want to erase it or to regret it, but I don't want to be its prisoner either.
27171	Mick Jagger	As long as my face is on page one, I don't care what they say about me on page seventeen.
27172	Mick Jagger	Lose your dreams and you might lose your mind.
27173	Mick Jagger	Anarchy is the only slight glimmer of hope.
27174	Mick Jagger	The elusive nature of love... it can be such a fleeting thing. You see it there and it's just fluttering and it's gone.
27175	Mick Jagger	I'd rather be dead than singing 'Satisfaction' when I'm forty-five.
27176	Mick Jagger	A good thing never ends.
27177	Mick Jagger	It's all right letting yourself go, as long as you can get yourself back.
27178	Mick Jagger	Patriotism is an instant reaction that fades away when the war starts.
27179	Mick Jagger	I must be careful not to get trapped in the past. That's why I tend to forget my songs.
27180	Mick Jagger	I got nasty habits; I take tea at three.
27181	Mick Jagger	Anything worth doing is worth overdoing.
27182	Mick Jagger	You wake up in the morning and you look at your old spoon, and you say to yourself, 'Mick, it's time to get yourself a new spoon.' And you do.
27183	Mick Jagger	I am conservative with a small 'c.' It's possible to be conservative in fiscal policy, and tolerant on moral issues or questions of freedom of expression.
27184	Mick Jagger	People have this obsession. They want you to be like you were in 1969. They want you to, because otherwise their youth goes with you. It's very selfish, but it's understandable.
27185	Mick Jagger	My mother has always been unhappy with what I do. She would rather I do something nicer, like be a bricklayer.
27186	Mick Jagger	I came into music just because I wanted the bread. It's true. I looked around and this seemed like the only way I was going to get the kind of bread I wanted.
27187	Mick Jagger	Thank you for leaving us alone but giving us enough attention to boost our egos.
27188	Mick Jagger	I can't get no satisfaction.
27189	Mick Jagger	I believe we should encourage children to sing and play instruments from an early age.
27190	Mick Jagger	People think they know you. They know the things about you that you have forgotten.
27191	Mick Jagger	I haven't had the time to plan returning to the scene because I haven't left it.
27192	Mick Jagger	My secrets must be poetic to be believable.
27193	Mick Jagger	The Spice Girl Victoria Beckham has just published the story of her life. I confess that it is not in my reading table.
27194	Mick Jagger	The new fashion is to talk about the most private parts of your life; other fashion is to repent of your excesses and to criticize the drugs that made you happy in the other times.
27195	Mignon McLaughlin	A successful marriage requires falling in love many times, always with the same person.
27196	Mignon McLaughlin	Learning too soon our limitations, we never learn our powers.
27197	Mignon McLaughlin	We all become great explorers during our first few days in a new city, or a new love affair.
27198	Mignon McLaughlin	For the happiest life, days should be rigorously planned, nights left open to chance.
27199	Mignon McLaughlin	It's innocence when it charms us, ignorance when it doesn't.
27200	Mignon McLaughlin	Love unlocks doors and opens windows that weren't even there before.
27201	Mignon McLaughlin	Even cowards can endure hardship; only the brave can endure suspense.
27202	Mignon McLaughlin	There is always some specific moment when we become aware that our youth is gone; but, years after, we know it was much later.
27203	Mignon McLaughlin	If you made a list of reasons why any couple got married, and another list of the reasons for their divorce, you'd have a hell of a lot of overlapping.
27204	Mignon McLaughlin	A sense of humor is a major defense against minor troubles.
27205	Mignon McLaughlin	We would all like a reputation for generosity and we'd all like to buy it cheap.
27206	Mignon McLaughlin	It is important to our friends to believe that we are unreservedly frank with them, and important to friendship that we are not.
27207	Mignon McLaughlin	Love is the silent saying and saying of a single name.
27208	Mignon McLaughlin	It's the most unhappy people who most fear change.
27209	Mignon McLaughlin	In the arithmetic of love, one plus one equals everything, and two minus one equals nothing.
27210	Mignon McLaughlin	Albert Einstein when asked what he considered to be the most powerful force in the universe answered: Compound interest! What you have become is the price you paid to get what you used to want.
27211	Mignon McLaughlin	We lavish on animals the love we are afraid to show to people. They might not return it; or worse, they might.
