id	author	quote
25555	Marina Abramovic	We are used to cleaning the outside house, but the most important house to clean is yourself - your own house - which we never do.
25556	Marina Abramovic	If you're a baker, making bread, you're a baker. If you make the best bread in the world, you're not an artist, but if you bake the bread in the gallery, you're an artist. So the context makes the difference.
25557	Marina Abramovic	To control the breathing is to control the mind. With different patterns of breathing, you can fall in love, you can hate someone, you can feel the whole spectrum of feelings just by changing your breathing.
25558	Marina Abramovic	You know how you feel somebody looking at you, and you turn, and somebody actually is? It's the same at an art gallery. You're looking at one portrait, turn around, and there is a work of art directly behind you. Because it's all energy. Every single thing has energy.
25559	Marina Abramovic	It's very important that young artists push boundaries, because sometimes you have this urge to do something - like the impulsive and dangerous urges I had as a child - and if you don't follow through with it you might miss out on a developmental experience.
25560	Marina Abramovic	For me, the most difficult piece is the one I'm about to make.
25561	Marina Abramovic	Performance has to be mainstream art. This is what I'm fighting for.
25562	Marina Abramovic	People put so much effort into starting a relationship and so little effort into ending one.
25563	Marina Abramovic	I used to have a recurring dream where I was at a party in a country house, surrounded by the same people each evening. Everyone would be singing and dancing and after a while I came to know the people; though, of course, they never really existed.
25564	Marina Abramovic	I am only interested in the ideas that become obsessive and make me feel uneasy. The ideas that I'm afraid of.
25565	Marina Abramovic	Being an artist is not easy - I have always said that to the students I have taught over the years. It's a huge sacrifice.
25566	Marina Abramovic	Happiness comes from the full understanding of your own being.
25567	Marina Abramovic	An artist should not fall in love with another artist.
25568	Mario Balotelli	You can't delete racism. It's like a cigarette. You can't stop smoking if you don't want to, and you can't stop racism if people don't want to. But I'll do everything I can to help.
25569	Mario Balotelli	Racism springs from ignorance.
25570	Mario Balotelli	They say that abandonment is a wound that never heals. I say only that an abandoned child never forgets.
25571	Mario Balotelli	Racist people are few, in the minority. But you can do nothing to change them. You can talk, you can do what you want, but you can't do anything because they are just stupid people.
25572	Mario Balotelli	I have my life, my world. I do what I want, without annoying anyone.
25573	Mario Balotelli	When I lose my temper it's because I decide to. If I do something it's because I want to do it.
25574	Mario Balotelli	Inside me I'm Ghanaian, and I'm proud to be African. But of course I'm Italian. I was born in Italy. I've never been to Africa in my life, but I will go one day.
25575	Mario Balotelli	My public image is absolutely not a fair reflection of who I am.
25576	Mario Balotelli	I am different - if you can find another like me, then I will buy you dinner!
25577	Mario Balotelli	It surprises me how much children like me, you know? If they look at me as an example, I have a big responsibility.
25578	Mario Balotelli	There are two metaphors for Mario the person and not Mario the footballer. I think I am a man, but I don't believe I need to say it. But I could also be Peter Pan because I do things my own way and I am free. So, yes, maybe I should say that I am Peter Pan - although I am much more of a man.
25579	Mario Balotelli	When I decide to score, I score. I know I am strong, but I believe it is not enough yet. I can kick fine, dribble very well, but I still have to improve.
25580	Mario Balotelli	Many stories are invented about me - too many stories; almost everyone uses me, and I'd say about 0.01 percent of the gossip is true.
