id	author	quote
27747	Morgan Fairchild	When the AIDS epidemic broke, because I happened to be a science nerd and knew a lot about viruses and a lot about that virus at the time, I felt a moral obligation to go out and try to stem the fear and get out and explain to people what the disease was and how it worked.
27748	Morgan Fairchild	I get really tired of getting painted up all the time. Basically, I'm a bum.
27749	Morgan Fairchild	I started in the theater when I was 10, so I grew up in the theater and was very used to that, but I love movies and television, also, obviously.
27750	Morgan Fairchild	I try hard to look hip but ladylike; current, but not like I'm trying to be 16.
27751	Morgan Fairchild	I'm about as Baptist as you get in Hollywood.
27752	Morgan Fairchild	I'm not a political animal, I'm a curious animal.
27753	Morgan Fairchild	One of the hallmarks of the sign of Aquarius is the campaign for justice. Everybody is my brother. Justice is very important to me.
27754	Morgan Fairchild	Saving the world via medical research or going off to Gobi Desert to dust off dinosaur eggs is what I thought I might be doing when I was a kid, and I'd love to bring those interests to a show like 'E.R.' or 'The West Wing,' or a movie like 'Jurassic Park.'
27755	Morgan Fairchild	It's nice to be thought of as attractive and all of that. On the other hand, it curtails you somewhat, too. They won't let me read for 'West Wing,' just to play, you know, a normal person. Or 'ER,' to play a doctor - the things I'm actually good at. I mean, I'm pretty good on foreign policy - they won't even let me come read for that.
27756	Morgan Fairchild	The business of Hollywood, if you don't have other things going on, it will eat you up and spit you out... If you take what those people and that social structure think of you - if you let it govern your life - you might as well just kill yourself.
27757	Morgan Fairchild	When I've got all the makeup on and all the spit, polish and glue together, I look fine. But I know what I really look like, and I'm still that same little kid under there. I don't think I look that great. I think I did a good job of creating Morgan Fairchild. But I created her.
28597	Nina Jacobson	Suzanne Collins, it was such a big thing for me to make the handshake with her and to say, 'You can trust me. I will not screw up your books. And I won't let them be diluted and softened. And I won't let them be exploited and made guilty of the sins that are being commented on in the books.' I take that really seriously.
28598	Nina Jacobson	It's definitely a tough blow to your morale to get fired.
28599	Nina Jacobson	My daughter and I have this thing we call a PMA: 'perfect moment alert.' I try to really notice when we're having a PMA.
28600	Nina Jacobson	When you're younger and you see something that really speaks to you, it's indelible in a way that's not the same as when you're an adult. So I'll always love reading books and making movies that resonate with young people.
28601	Nina Jacobson	There's as much great authorship in the filmmaker community as in the literary community, and I'd love to welcome more filmmakers into the fold.
28602	Nina Jacobson	I've been fortunate enough to match up the material I'm producing with the right buyer, the company that will make it and that wants it, and that isn't saying yes to be nice, but is saying yes because they want and need that movie and it's going to be important on their slate.
28603	Nina Jacobson	Getting movies developed doesn't do me any good as a producer. It only does me good to get movies made.
28604	Nina Jacobson	I am happy to keep working on books because I'm always reading, and I'm always trying to fall in love.
28605	Nina Jacobson	I know many filmmakers, and shooting in IMAX is challenging. Filmmakers love the vividness and power of those big images.
28606	Nina Jacobson	I think that women are underrepresented behind the camera as directors.
28607	Nina Jacobson	I'm very superstitious. I come from a family that's big on not painting the nursery until the baby is home.
28608	Nina Jacobson	There are still so few female directors. There are far fewer writers than we'd like to see.
28609	Nina Jacobson	Ultimately, I am very filmmaker oriented, as a producer.
28610	Nina Jacobson	Ultimately, only audiences decide what's a franchise.
28611	Nina Jacobson	When I love a book, I really love a book. You don't get that very often.
28612	Nina Jacobson	I think that one of the greatest perspectives that I have, from being a buyer for my whole career until I became a producer, is that I have a pretty good understanding of the buyer's mentality.
28613	Nina Jacobson	The IMAX cameras are big and heavy. And they're loud. So you have to be mindful of whether or not they're worth it; I'd say the image quality is incredible and the scale is amazing.
28614	Nina Jacobson	When doing family entertainment, you don't actually worry about kids. You know what you can't do. But in terms of sensibility and sophistication and wit and ambition, aim for your own taste level, and kids will - if they're interested in the subject matter - be glad that you did.
28615	Nina Jacobson	When you read a book, you create that tonal bandwidth. You set a tone for yourself, as you're reading it, in which everything exists within the world of your imagination.
