id	author	quote
25437	Marie von Ebner-Eschenbach	Little evil would be done in the world if evil never could be done in the name of good.
25438	Marie von Ebner-Eschenbach	Not what we experience, but how we perceive what we experience, determines our fate.
25439	Marie von Ebner-Eschenbach	Exceptions are not always the proof of the old rule; they can also be the harbinger of a new one.
25440	Marie von Ebner-Eschenbach	Conquer, but don't triumph.
25441	Marie von Ebner-Eschenbach	Imaginary evils are incurable.
25442	Marie von Ebner-Eschenbach	What delights us in visible beauty is the invisible.
25443	Marie von Ebner-Eschenbach	The poor man wishes to conceal his poverty, and the rich man his wealth: the former fears lest he be despised, the latter lest he be plundered.
25444	Marie von Ebner-Eschenbach	Privilege is the greatest enemy of right.
25445	Marie von Ebner-Eschenbach	None are so eager to gain new experience as those who don't know how to make use of the old ones.
25446	Marie von Ebner-Eschenbach	He who believes in freedom of the will has never loved and never hated.
25447	Marie von Ebner-Eschenbach	So soon as a fashion is universal, it is out of date.
25448	Marie von Ebner-Eschenbach	Whenever two good people argue over principles, they are both right.
25449	Marie von Ebner-Eschenbach	Authors from whom others steal should not complain, but rejoice. Where there is no game there are no poachers.
25450	Marie von Ebner-Eschenbach	If you have one good idea, people will lend you twenty.
26030	Marvin Hamlisch	I have always thought of music as a highway with many lanes.
26031	Marvin Hamlisch	Barbra Streisand is without a doubt one of the most honest people I have ever known. There is no doubt in my mind that she will not be doing any more concerts. Of course, she still will be making records and starring and directing in movies.
26032	Marvin Hamlisch	Maybe I'm old-fashioned. But I remember the beauty and thrill of being moved by Broadway musicals - particularly the endings of shows.
26033	Marvin Hamlisch	You mustn't underestimate an audience's intelligence.
26034	Marvin Hamlisch	I was always drawn to Broadway musicals, and obviously composers like Gershwin, Rodgers, Berlin and Porter were writing music that I found wildly impressive.
26035	Marvin Hamlisch	There have been studies that clearly state that children who are exposed to arts education at a young age will in fact do markedly better in their SAT tests.
26036	Marvin Hamlisch	I still have great faith in what is good and right in all of us.
26037	Marvin Hamlisch	I'm not one of those people who says, 'I never read reviews,' because I don't believe those people.
26038	Marvin Hamlisch	I started studying music at the age of five and a half. My older sister was taking piano lessons. When her teacher left our apartment, I would get up on the piano bench and start picking out the notes that were part of my sister's lessons.
26039	Marvin Hamlisch	My whole thing is not just to play music for people, but to make them part of the evening.
26040	Marvin Hamlisch	I think that when NASA works on a moon shot, they know too well that all of the people working on it must do their job at 110 percent. Sometimes they probably put in 18 hour days, but they're aiming for the moon, and that's what counts.
26041	Marvin Hamlisch	You know, anyone who invites me to do something makes me feel special.
26042	Marvin Hamlisch	As I get older, I'm slowing down and, yes, calming down in my desire to be taken seriously. That I can be entertaining and funny and high nervous energy can work against me as a serious composer, slowly but surely you'll see me be quieter just so that people will listen.
26043	Marvin Hamlisch	I can make a song up about anything: garbage, the weather, things in the news.
26044	Marvin Hamlisch	I never took any vocal training.
26045	Marvin Hamlisch	If I'm within reach and can be helpful, I have a tendency to say 'Yes.' It's hard to say 'No.'
26046	Marvin Hamlisch	My show business career doesn't mean I can't write a symphony. It just means I was never asked to write one.
26047	Marvin Hamlisch	The biggest thrill you can have is to tell people one of your songs, and have them be able to hum it.
26048	Marvin Hamlisch	From the time I could play the piano, I remember trying to write tunes. They were in my head, and I would just sit down and start noodling. Next thing I knew, I had written a melody.
26049	Marvin Hamlisch	Let's say music is needed for only 43 seconds of film. You have to score it so it is an entity, so it won't bother anyone when it ends so quickly. Or if a song runs 2 minutes and 45 seconds, but the titles run a minute longer, you have to arrange that song so it doesn't get repetitious.
26050	Marvin Hamlisch	Many, many years ago, I was one of the few conductors who talked to the audience and now a lot of classical conductors have figured it out... otherwise, you just get the back of someone's head playing music you could hear on a CD. It's not enough anymore.
26051	Marvin Hamlisch	Normally I can balance two or three things. The problem is when you're out of work and don't have anything to balance. I think people assume you're always busy. You go through dry spells.
26685	Michael Ealy	I would love to have a complete family. I'd love to do it all at once. I'd love to be able to give to my children what my parents were able to give to me. And if I'm blessed to be able to do that, fantastic. If I'm not, then life goes on. You have to do the best you can. I do think we have to bring the family back; I do.
26686	Michael Ealy	I wasn't smart enough to read relationship books when I was coming up. I learned everything the hard way.
26687	Michael Ealy	Any time you audition and get it, you earned it.
26688	Michael Ealy	For the most part, I meet people who are like 'I really like your work. I'm watching your career. I want to see you do well. Keep doing what you do.' I get that so much, and it's so reassuring. I often wish that so many people, who just work normal jobs, could get a pat on the back as much as I do, because it's very complimentary.
26689	Michael Ealy	I would love to direct but I feel like directing is a whole separate craft and so I tend to respect it as a separate craft that I would need to study first. So, right now I'm still trying to do certain things as an actor and until I get bored of that or I feel completely fed by that then I'll move into directing.
26690	Michael Ealy	I've always thought vampires were interesting because they live forever, they're always well-financed, they dress well, you know what I mean? And they're, like, cool. Usually vampire - you've never seen a broke vampire. Have you?
26691	Michael Ealy	The kind of issues that we face as detectives are similar to what the other married couples out there are facing, or the brother and sister, or the brother and brother are facing. Relationships are universal.
26692	Michael Ealy	I can't sing, like, I can't saaang. I'm no Luther! That to me is singing. Being able to hit a note doesn't mean you can sing.
26693	Michael Ealy	I feel like I've finally made it as an actor. I've been doing this for years and you don't always make a movie that everybody likes.
26694	Michael Ealy	I honestly think I'm just an actor. It doesn't matter the medium. I can go on stage and be happy, I can be on TV and be happy.
26695	Michael Ealy	I think women should have insight as to how men think. Just like men should have insight into how women think.
26696	Michael Ealy	If you look at a lot of people's careers, the first couple of movies, usually, are the most embarrassing.
26697	Michael Ealy	I used to love the 'Star Trek' movies, 'Wrath of Khan' and stuff like that. Loved those movies when I was a kid. And 'Star Wars' obviously was hands-down probably - I mean I had the sheets. I was a big fan of that.
26698	Michael Ealy	I have two dream roles: One would be a biopic of someone I admire and respect and the other one would be some sort of action drama film similar to a 'Bourne Identity.' I just really want to do an intelligent action drama film.
26699	Michael Ealy	If I feel like it's a well-written script and if it speaks to me, it's something I want to do. I usually rely on my instincts when it comes to a script.
26700	Michael Ealy	My mom and father are extremely proud. They love it when I don't die. I've done so many movies where I've died that their first question when I book a job is, 'So, are you going to die in this?'
26701	Michael Ealy	There's something very beautiful and compelling about someone who has ambition and someone who knows what they want, but it can get a little frustrating at times, so I understand that. I have sympathy for that.
26702	Michael Ealy	You know, a lot of actors I think go into acting for therapy from whatever trauma has affected them as children. But for me, I think I sought out the drama. That's why I like doing what I do.
26703	Michael Ealy	I know the commitment that TV requires but it's nice to come to work and have fun.
26704	Michael Ealy	I love going to see the theatre whether it's a Broadway play or a Russian ballet company.
26705	Michael Ealy	I would never sign on to a project that was male-bashing, because first and foremost I'm a man... what guy would sign on for that?
26706	Michael Ealy	I'm actually very good with Home Depot-handy type of paintwork.
28472	Niger Innis	Understanding the long, sordid history of gun control in America is key to understanding the dangers of disarming.
28473	Niger Innis	I know within my organization, within the grassroots of my organization of the Tea Party movement generally, there's going to be a big drive for impeaching Obama. I don't know if that's the right move... We need to play our cards very carefully and beware of the mouse trap that Obama might be trying to set for us.
28474	Niger Innis	Join America taught English, an understanding of the U.S. Constitution, that the Bill of Rights is the ultimate insurance policy for a citizen, and that being a citizen is not an entitlement. And we also taught a bit of capitalism.
28475	Niger Innis	I was Tea Party years before there was an official Tea Party.
