id	author	quote
36716	Tony Fadell	People buy products, and they want to understand what those things are and how they are applicable to their life.
36717	Tony Fadell	Usually, the biggest companies are not the most dynamic.
36718	Tony Fadell	We built the iPod in weeks. It had to be what I thought it was going to be because there wasn't time for endless refinements.
36719	Tony Fadell	Every person I talk to has a story about how their smoke alarm went off or woke them up with a battery beeping. So you take it off the wall and you take the battery out and say 'screw this.' They hate the products.
36720	Tony Fadell	I've been working with contractors designing and building a house on a nonstop basis since 2005. I learned about all these systems of audio, construction, electricity, energy, water systems.
36721	Tony Fadell	Nest really came out of a process where I was trying to design the most connected and the most green home that I knew of. I was curious of just about everything that goes into a home and building a home.
36722	Tony Fadell	Well, you can say there is a self driving car. I'm seeing the automation of vehicles. Really, computer-assisted driving. I think that is really interesting to us because we are taking all of the sensors technologies and putting them in cars and making people safer.
36723	Tony Fadell	You need to set near-term milestones. Put the assumptions down on paper, and make it to your vision or ultimate product. Your team has to understand where they're going. Your partners need to understand where they're going.
36724	Tony Fadell	Your television has changed, your phone has changed. Why don't these other things you need, that the government tells you you must have in your home, change?
36725	Tony Fadell	Having kids makes you think about the world differently.
36726	Tony Fadell	I learned the power of 'no.' No is really important. Entrepreneurs are told to say 'yes, yes, more, more.'
36727	Tony Fadell	I started designing the greenest the most connected home before the iPhone and the iPad.
36728	Tony Fadell	I used to work about 100 hours a week; now it's about 70. But 40 hours? Forget about it. Either you're all in, or your not.
36729	Tony Fadell	If you don't have an emotionally engaging design for a device, no one will care about it.
36730	Tony Fadell	In Tahoe, you want to be able check on the temperature of the house or turn it on before you get there. Because it's really cold in the winter.
36731	Tony Fadell	Studies have shown that children are less likely to wake up to a horn than the sound of a mother's voice.
36732	Tony Fadell	With most tech guys, it's the same outfit every day - they wear their company logo.
36733	Tony Fadell	You start with the right amount of rational and emotional experiences. You have to blend those in your product when you come out.
36793	Tony Robbins	Setting goals is the first step in turning the invisible into the visible.
36794	Tony Robbins	To effectively communicate, we must realize that we are all different in the way we perceive the world and use this understanding as a guide to our communication with others.
36795	Tony Robbins	It is in your moments of decision that your destiny is shaped.
36796	Tony Robbins	The secret of success is learning how to use pain and pleasure instead of having pain and pleasure use you. If you do that, you're in control of your life. If you don't, life controls you.
36797	Tony Robbins	Only those who have learned the power of sincere and selfless contribution experience life's deepest joy: true fulfillment.
36798	Tony Robbins	The only limit to your impact is your imagination and commitment.
36799	Tony Robbins	Stay committed to your decisions, but stay flexible in your approach.
36800	Tony Robbins	The path to success is to take massive, determined action.
36801	Tony Robbins	Success comes from taking the initiative and following up... persisting... eloquently expressing the depth of your love. What simple action could you take today to produce a new momentum toward success in your life?
36802	Tony Robbins	It's not the events of our lives that shape us, but our beliefs as to what those events mean.
36803	Tony Robbins	Beliefs have the power to create and the power to destroy. Human beings have the awesome ability to take any experience of their lives and create a meaning that disempowers them or one that can literally save their lives.
36804	Tony Robbins	People are not lazy. They simply have impotent goals - that is, goals that do not inspire them.
36805	Tony Robbins	I've come to believe that all my past failure and frustration were actually laying the foundation for the understandings that have created the new level of living I now enjoy.
36806	Tony Robbins	You see, it's never the environment; it's never the events of our lives, but the meaning we attach to the events - how we interpret them - that shapes who we are today and who we'll become tomorrow.
36807	Tony Robbins	There is no such thing as failure. There are only results.
36808	Tony Robbins	You see, in life, lots of people know what to do, but few people actually do what they know. Knowing is not enough! You must take action.
36809	Tony Robbins	We can change our lives. We can do, have, and be exactly what we wish.
36810	Tony Robbins	One reason so few of us achieve what we truly want is that we never direct our focus; we never concentrate our power. Most people dabble their way through life, never deciding to master anything in particular.
36811	Tony Robbins	Want to learn to eat a lot? Here it is: Eat a little. That way, you will be around long enough to eat a lot.
36812	Tony Robbins	If you do what you've always done, you'll get what you've always gotten.
36813	Tony Robbins	The higher your energy level, the more efficient your body The more efficient your body, the better you feel and the more you will use your talent to produce outstanding results.
36814	Tony Robbins	Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more.
36815	Tony Robbins	Remember, a real decision is measured by the fact that you've taken new action. If there's no action, you haven't truly decided.
36816	Tony Robbins	A real decision is measured by the fact that you've taken a new action. If there's no action, you haven't truly decided.
36817	Tony Robbins	I challenge you to make your life a masterpiece. I challenge you to join the ranks of those people who live what they teach, who walk their talk.
36904	Truman Capote	Love is a chain of love as nature is a chain of life.
36905	Truman Capote	Love, having no geography, knows no boundaries.
36906	Truman Capote	To me, the greatest pleasure of writing is not what it's about, but the inner music that words make.
36907	Truman Capote	A conversation is a dialogue, not a monologue. That's why there are so few good conversations: due to scarcity, two intelligent talkers seldom meet.
36908	Truman Capote	Venice is like eating an entire box of chocolate liqueurs in one go.
36909	Truman Capote	Life is a moderately good play with a badly written third act.
36910	Truman Capote	Friendship is a pretty full-time occupation if you really are friendly with somebody. You can't have too many friends because then you're just not really friends.
36911	Truman Capote	I believe more in the scissors than I do in the pencil.
36912	Truman Capote	That isn't writing at all, it's typing.
36913	Truman Capote	No one will ever know what 'In Cold Blood' took out of me. It scraped me right down to the marrow of my bones. It nearly killed me. I think, in a way, it did kill me.
36914	Truman Capote	Sometimes when I think how good my book can be, I can hardly breathe.
36915	Truman Capote	Writing stopped being fun when I discovered the difference between good writing and bad and, even more terrifying, the difference between it and true art. And after that, the whip came down.
36916	Truman Capote	Writing has laws of perspective, of light and shade just as painting does, or music. If you are born knowing them, fine. If not, learn them. Then rearrange the rules to suit yourself.
36917	Truman Capote	Well, I'm about as tall as a shotgun, and just as noisy.
