id	author	quote
34430	Solon	Nothing in excess.
34569	Stan Dale	Comfort zones are plush lined coffins. When you stay in your plush lined coffins, you die.
34570	Stan Dale	It all changed when I realized I'm not the only one on the planet who's scared. Everyone else is, too.
34571	Stanislaw Lec	Don't shout for help at night. You may wake your neighbors.
34572	Stanislaw Lec	Is it progress if a cannibal uses knife and fork?
34659	Stendhal	One can acquire everything in solitude, except character.
34660	Stendhal	Women are always eagerly on the lookout for any emotion.
35158	Stevie Smith	I was much further out than you thought And not waving but drowning.
35159	Stevie Smith	Why does my Muse only speak when she is unhappy? She does not, I only listen when I am unhappy When I am happy I live and despise writing For my Muse this cannot but be dispiriting.
35378	Sydney J. Harris	A cynic is not merely one who reads bitter lessons from the past; he is one who is prematurely disappointed in the future.
35379	Sydney J. Harris	An idealist believes the short run doesn't count. A cynic believes the long run doesn't matter. A realist believes that what is done or left undone in the short run determines the long run.
35412	Søren Kierkegaard	Life can only be understood backwards; but it must be lived forwards.
35413	Søren Kierkegaard	Most men pursue pleasure with such breathless haste that they hurry past it.
35515	Tallulah Bankhead	There is less in this than meetsthe eye.
35516	Tallulah Bankhead	Cocaine habit-forming? Of course not. I ought to know. I've been using it for years.
35888	Theodor W. Adorno	Death is imposed only on creatures, not their creations, and has therefore always appeared in art in a broken form: as allegory.
35889	Theodor W. Adorno	The element of truth in the concept of genius is to be sought in the object, in what is open, not confined by repetition.
36061	Thomas Drummond	Property has its duties as well as its rights.
36062	Thomas Drummond	No land is bad, but land is worse. If a man owns land, the land owns him. Now let him leave home, if he dare.
36338	Thomas Tusser	Who goeth a borrowing Goeth a sorrowing. Few lend (but fools) Their working tools.
36339	Thomas Tusser	At Christmas play, and make good cheer, For Christmas comes but once a year.
36343	Thomas à Kempis	How quickly passes away the glory of this world.
36372	Thorstein Veblen	Conspicuous consumption of valuable goods is a means of reputability to the gentleman of leisure.
36373	Thorstein Veblen	With the exception of the instinct of self-preservation, the propensity for emulation is probably the strongest and most alert and persistent of the economic motives proper.
36547	Tom Feeney	No taxation without respiration.
36548	Tom Feeney	Two things Florida can teach the other 49 states: how to make a good margarita and how to deal with the aftermath of a hurricane.
36574	Tom Irwin	As actors, you do have to be aware of your audience. You can't act in a vacuum, even if that audience isn't exactly present with you.
36575	Tom Irwin	If theatre paid as well as movies and TV, I'd do it all the time.
36755	Tony Garza	Look at Mexico. We need to make that government better and end the corruption. If people have a better life in their country, they won't come over here.
