id	author	quote
14437	Groucho Marx	Outside of a dog, a book is a man's best friend. Inside of a dog it's too dark to read.
14438	Groucho Marx	Politics is the art of looking for trouble, finding it everywhere, diagnosing it incorrectly and applying the wrong remedies.
14439	Groucho Marx	Anyone who says he can see through women is missing a lot.
14440	Groucho Marx	A black cat crossing your path signifies that the animal is going somewhere.
14441	Groucho Marx	Those are my principles, and if you don't like them... well, I have others.
14442	Groucho Marx	Behind every successful man is a woman, behind her is his wife.
14443	Groucho Marx	I must say I find television very educational. The minute somebody turns it on, I go to the library and read a good book.
14444	Groucho Marx	One morning I shot an elephant in my pajamas. How he got into my pajamas I'll never know.
14445	Groucho Marx	I intend to live forever, or die trying.
14446	Groucho Marx	Well, Art is Art, isn't it? Still, on the other hand, water is water. And east is east and west is west and if you take cranberries and stew them like applesauce they taste much more like prunes than rhubarb does. Now you tell me what you know.
14447	Groucho Marx	I've had a perfectly wonderful evening. But this wasn't it.
14448	Groucho Marx	Why should I care about posterity? What's posterity ever done for me?
14449	Groucho Marx	Getting older is no problem. You just have to live long enough.
14450	Groucho Marx	No man goes before his time - unless the boss leaves early.
14451	Groucho Marx	I was married by a judge. I should have asked for a jury.
14452	Groucho Marx	I read in the newspapers they are going to have 30 minutes of intellectual stuff on television every Monday from 7:30 to 8. to educate America. They couldn't educate America if they started at 6:30.
14453	Groucho Marx	A hospital bed is a parked taxi with the meter running.
14454	Groucho Marx	I'm not feeling very well - I need a doctor immediately. Ring the nearest golf course.
14455	Groucho Marx	I'm leaving because the weather is too good. I hate London when it's not raining.
14456	Groucho Marx	Alimony is like buying hay for a dead horse.
14457	Groucho Marx	Quote me as saying I was mis-quoted.
14458	Groucho Marx	I sent the club a wire stating, PLEASE ACCEPT MY RESIGNATION. I DON'T WANT TO BELONG TO ANY CLUB THAT WILL ACCEPT ME AS A MEMBER.
15337	Henry Ford	Coming together is a beginning; keeping together is progress; working together is success.
15338	Henry Ford	My best friend is the one who brings out the best in me.
15339	Henry Ford	If everyone is moving forward together, then success takes care of itself.
15340	Henry Ford	Life is a series of experiences, each one of which makes us bigger, even though sometimes it is hard to realize this. For the world was built to develop character, and we must learn that the setbacks and grieves which we endure help us in our marching onward.
15341	Henry Ford	Don't find fault, find a remedy.
15343	Henry Ford	If you think you can do a thing or think you can't do a thing, you're right.
15344	Henry Ford	Obstacles are those frightful things you see when you take your eyes off your goal.
15345	Henry Ford	Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young.
15346	Henry Ford	A business that makes nothing but money is a poor business.
15347	Henry Ford	When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.
15348	Henry Ford	Even a mistake may turn out to be the one thing necessary to a worthwhile achievement.
15349	Henry Ford	I believe God is managing affairs and that He doesn't need any advice from me. With God in charge, I believe everything will work out for the best in the end. So what is there to worry about.
15350	Henry Ford	If money is your hope for independence you will never have it. The only real security that a man will have in this world is a reserve of knowledge, experience, and ability.
15351	Henry Ford	Quality means doing it right when no one is looking.
15352	Henry Ford	Failure is simply the opportunity to begin again, this time more intelligently.
15353	Henry Ford	One of the greatest discoveries a man makes, one of his great surprises, is to find he can do what he was afraid he couldn't do.
15354	Henry Ford	You can't build a reputation on what you are going to do.
15355	Henry Ford	It is not the employer who pays the wages. Employers only handle the money. It is the customer who pays the wages.
15357	Henry Ford	If there is any one secret of success, it lies in the ability to get the other person's point of view and see things from that person's angle as well as from your own.
15358	Henry Ford	It is well enough that people of the nation do not understand our banking and monetary system, for if they did, I believe there would be a revolution before tomorrow morning.
15359	Henry Ford	Most people spend more time and energy going around problems than in trying to solve them.
15360	Henry Ford	Enthusiasm is the yeast that makes your hopes shine to the stars. Enthusiasm is the sparkle in your eyes, the swing in your gait. The grip of your hand, the irresistible surge of will and energy to execute your ideas.
15361	Henry Ford	The man who will use his skill and constructive imagination to see how much he can give for a dollar, instead of how little he can give for a dollar, is bound to succeed.
15581	Heraclitus	There is nothing permanent except change.
15582	Heraclitus	The sun is new each day.
15583	Heraclitus	Good character is not formed in a week or a month. It is created little by little, day by day. Protracted and patient effort is needed to develop good character.
15584	Heraclitus	Big results require big ambitions.
15585	Heraclitus	No man ever steps in the same river twice, for it's not the same river and he's not the same man.
15586	Heraclitus	Hide our ignorance as we will, an evening of wine soon reveals it.
15587	Heraclitus	You could not step twice into the same rivers; for other waters are ever flowing on to you.
15588	Heraclitus	To do the same thing over and over again is not only boredom: it is to be controlled by rather than to control what you do.
15589	Heraclitus	The chain of wedlock is so heavy that it takes two to carry it - and sometimes three.
15590	Heraclitus	If you do not expect the unexpected you will not find it, for it is not to be reached by search or trail.
15591	Heraclitus	Nothing endures but change.
15592	Heraclitus	Man is most nearly himself when he achieves the seriousness of a child at play.
15593	Heraclitus	Much learning does not teach understanding.
15594	Heraclitus	God is day and night, winter and summer, war and peace, surfeit and hunger.
15595	Heraclitus	Eyes and ears are poor witnesses to people if they have uncultured souls.
15596	Heraclitus	A man's character is his fate.
15597	Heraclitus	Character is destiny.
15598	Heraclitus	Couples are wholes and not wholes, what agrees disagrees, the concordant is discordant. From all things one and from one all things.
15599	Heraclitus	The way up and the way down are one and the same.
15600	Heraclitus	Justice will overtake fabricators of lies and false witnesses.
15601	Heraclitus	Change alone is unchanging.
15602	Heraclitus	The best people renounce all for one goal, the eternal fame of mortals; but most people stuff themselves like cattle.
15603	Heraclitus	You cannot step into the same river twice.
15604	Heraclitus	It is hard to contend against one's heart's desire; for whatever it wishes to have it buys at the cost of soul.
15605	Heraclitus	Our envy always lasts longer than the happiness of those we envy.
15606	Heraclitus	All is flux, nothing stays still.
15906	Hubert H. Humphrey	The greatest gift of life is friendship, and I have received it.
15907	Hubert H. Humphrey	The greatest healing therapy is friendship and love.
15908	Hubert H. Humphrey	It was once said that the moral test of government is how that government treats those who are in the dawn of life, the children; those who are in the twilight of life, the elderly; and those who are in the shadows of life, the sick, the needy and the handicapped.
15909	Hubert H. Humphrey	Behind every successful man is a proud wife and a surprised mother-in-law.
15910	Hubert H. Humphrey	Never give in and never give up.
15911	Hubert H. Humphrey	To err is human. To blame someone else is politics.
15912	Hubert H. Humphrey	Foreign policy is really domestic policy with its hat on.
15913	Hubert H. Humphrey	Each child is an adventure into a better life - an opportunity to change the old pattern and make it new.
15914	Hubert H. Humphrey	Freedom is hammered out on the anvil of discussion, dissent, and debate.
