id	author	quote
19800	John Adams	The right of a nation to kill a tyrant in case of necessity can no more be doubted than to hang a robber, or kill a flea.
19801	John Adams	I must not write a word to you about politics, because you are a woman.
19802	John Adams	While all other sciences have advanced, that of government is at a standstill - little better understood, little better practiced now than three or four thousand years ago.
19803	John Adams	All the perplexities, confusion and distress in America arise, not from defects in their Constitution or Confederation, not from want of honor or virtue, so much as from the downright ignorance of the nature of coin, credit and circulation.
19804	John Adams	A government of laws and not of men.
20089	John Dewey	Education is not preparation for life; education is life itself.
20090	John Dewey	Time and memory are true artists; they remould reality nearer to the heart's desire.
20091	John Dewey	To find out what one is fitted to do, and to secure an opportunity to do it, is the key to happiness.
20092	John Dewey	Arriving at one goal is the starting point to another.
20093	John Dewey	Every great advance in science has issued from a new audacity of imagination.
20094	John Dewey	The path of least resistance and least trouble is a mental rut already made. It requires troublesome work to undertake the alternation of old beliefs.
20095	John Dewey	Just as a flower which seems beautiful and has color but no perfume, so are the fruitless words of the man who speaks them but does them not.
20096	John Dewey	The belief that all genuine education comes about through experience does not mean that all experiences are genuinely or equally educative.
20097	John Dewey	Education, therefore, is a process of living and not a preparation for future living.
20098	John Dewey	Failure is instructive. The person who really thinks learns quite as much from his failures as from his successes.
20099	John Dewey	The good man is the man who, no matter how morally unworthy he has been, is moving to become better.
20100	John Dewey	The self is not something ready-made, but something in continuous formation through choice of action.
20101	John Dewey	Such happiness as life is capable of comes from the full participation of all our powers in the endeavor to wrest from each changing situations of experience its own full and unique meaning.
20102	John Dewey	We only think when we are confronted with problems.
20103	John Dewey	To me faith means not worrying.
20104	John Dewey	Without some goals and some efforts to reach it, no man can live.
20105	John Dewey	Luck, bad if not good, will always be with us. But it has a way of favoring the intelligent and showing its back to the stupid.
20106	John Dewey	Anyone who has begun to think, places some portion of the world in jeopardy.
20107	John Dewey	Skepticism: the mark and even the pose of the educated mind.
20108	John Dewey	One lives with so many bad deeds on one's conscience and some good intentions in one's heart.
20109	John Dewey	Nature is the mother and the habitat of man, even if sometimes a stepmother and an unfriendly home.
20110	John Dewey	Man lives in a world of surmise, of mystery, of uncertainties.
20111	John Dewey	By object is meant some element in the complex whole that is defined in abstraction from the whole of which it is a distinction.
20112	John Dewey	No man's credit is as good as his money.
20113	John Dewey	Man is not logical and his intellectual history is a record of mental reserves and compromises. He hangs on to what he can in his old beliefs even when he is compelled to surrender their logical basis.
20114	John Dewey	For one man who thanks God that he is not as other men there are a thousand to offer thanks that they are as other men, sufficiently as others are to escape attention.
20732	John W. Gardner	True happiness involves the full use of one's power and talents.
20733	John W. Gardner	Excellence is doing ordinary things extraordinarily well.
20734	John W. Gardner	Life is the art of drawing without an eraser.
20735	John W. Gardner	Much education today is monumentally ineffective. All too often we are giving young people cut flowers when we should be teaching them to grow their own plants.
20736	John W. Gardner	History never looks like history when you are living through it.
20737	John W. Gardner	The creative individual has the capacity to free himself from the web of social pressures in which the rest of us are caught. He is capable of questioning the assumptions that the rest of us accept.
20738	John W. Gardner	We are all faced with a series of great opportunities - brilliantly disguised as insoluble problems.
20739	John W. Gardner	The society which scorns excellence in plumbing as a humble activity and tolerates shoddiness in philosophy because it is an exalted activity will have neither good plumbing nor good philosophy: neither its pipes nor its theories will hold water.
20740	John W. Gardner	Leaders come in many forms, with many styles and diverse qualities. There are quiet leaders and leaders one can hear in the next county. Some find strength in eloquence, some in judgment, some in courage.
20741	John W. Gardner	Some people have greatness thrust upon them. Very few have excellence thrust upon them.
20742	John W. Gardner	Whoever I am, or whatever I am doing, some kind of excellence is within my reach.
20743	John W. Gardner	Political extremism involves two prime ingredients: an excessively simple diagnosis of the world's ills, and a conviction that there are identifiable villains back of it all.
20744	John W. Gardner	Some people strengthen the society just by being the kind of people they are.
20745	John W. Gardner	Men of integrity, by their very existence, rekindle the belief that as a people we can live above the level of moral squalor. We need that belief; a cynical community is a corrupt community.
20746	John W. Gardner	The ultimate goal of the educational system is to shift to the individual the burden of pursing his own education. This will not be a widely shared pursuit until we get over our odd conviction that education is what goes on in school buildings and nowhere else.
20747	John W. Gardner	When one may pay out over two million dollars to presidential and Congressional campaigns, the U.S. government is virtually up for sale.
20748	John W. Gardner	The hallmark of our age is the tension between aspirations and sluggish institutions.
