id	author	quote
30308	Plato	Dictatorship naturally arises out of democracy, and the most aggravated form of tyranny and slavery out of the most extreme liberty.
30309	Plato	A good decision is based on knowledge and not on numbers.
30310	Plato	Ignorance, the root and stem of all evil.
30311	Plato	Good actions give strength to ourselves and inspire good actions in others.
30312	Plato	Democracy... is a charming form of government, full of variety and disorder; and dispensing a sort of equality to equals and unequals alike.
30313	Plato	Opinion is the medium between knowledge and ignorance.
30314	Plato	A hero is born among a hundred, a wise man is found among a thousand, but an accomplished one might not be found even among a hundred thousand men.
30315	Plato	One of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.
30316	Plato	People are like dirt. They can either nourish you and help you grow as a person or they can stunt your growth and make you wilt and die.
30317	Plato	The man who makes everything that leads to happiness depends upon himself, and not upon other men, has adopted the very best plan for living happily. This is the man of moderation, the man of manly character and of wisdom.
30318	Plato	All the gold which is under or upon the earth is not enough to give in exchange for virtue.
30319	Plato	He was a wise man who invented beer.
30320	Plato	No law or ordinance is mightier than understanding.
30321	Plato	Eveything that deceives may be said to enchant.
30322	Plato	Democracy…is a charming form of government, full of variety and disorder, and dispensing a sort of equality to equals and unequals alike.
30323	Plato	Man is a biped without feathers.
30324	Plato	Mankind censure injustice, fearing that they may be the victims of it and not because they shrink from committing it.
30325	Plato	At the touch of love everyone becomes a poet.
30602	Rainer Maria Rilke	Once the realization is accepted that even between the closest human beings infinite distances continue, a wonderful living side by side can grow, if they succeed in loving the distance between them which makes it possible for each to see the other whole against the sky.
30603	Rainer Maria Rilke	And now we welcome the new year. Full of things that have never been.
30604	Rainer Maria Rilke	The only journey is the one within.
30605	Rainer Maria Rilke	If your daily life seems poor, do not blame it; blame yourself that you are not poet enough to call forth its riches; for the Creator, there is no poverty.
30606	Rainer Maria Rilke	A person isn't who they are during the last conversation you had with them - they're who they've been throughout your whole relationship.
30607	Rainer Maria Rilke	Love consists in this, that two solitudes protect and touch and greet each other.
30608	Rainer Maria Rilke	For one human being to love another; that is perhaps the most difficult of all our tasks, the ultimate, the last test and proof, the work for which all other work is but preparation.
30609	Rainer Maria Rilke	Let life happen to you. Believe me: life is in the right, always.
30610	Rainer Maria Rilke	It is a tremendous act of violence to begin anything. I am not able to begin. I simply skip what should be the beginning.
30611	Rainer Maria Rilke	This is the miracle that happens every time to those who really love: the more they give, the more they possess.
30612	Rainer Maria Rilke	I hold this to be the highest task for a bond between two people: that each protects the solitude of the other.
30613	Rainer Maria Rilke	Believe that with your feelings and your work you are taking part in the greatest; the more strongly you cultivate this belief, the more will reality and the world go forth from it.
30614	Rainer Maria Rilke	Who has not sat before his own heart's curtain? It lifts: and the scenery is falling apart.
30615	Rainer Maria Rilke	All emotions are pure which gather you and lift you up; that emotion is impure which seizes only one side of your being and so distorts you.
30616	Rainer Maria Rilke	The deepest experience of the creator is feminine, for it is experience of receiving and bearing.
30617	Rainer Maria Rilke	Live your questions now, and perhaps even without knowing it, you will live along some distant day into your answers.
30618	Rainer Maria Rilke	Everything is blooming most recklessly; if it were voices instead of colors, there would be an unbelievable shrieking into the heart of the night.
30619	Rainer Maria Rilke	Perhaps all the dragons of our lives are princesses who are only waiting to see us once beautiful and brave.
30620	Rainer Maria Rilke	The purpose of life is to be defeated by greater and greater things.
30621	Rainer Maria Rilke	I want to be with those who know secret things or else alone.
30622	Rainer Maria Rilke	The future enters into us, in order to transform itself in us, long before it happens.
30623	Rainer Maria Rilke	All the soarings of my mind begin in my blood.
30624	Rainer Maria Rilke	He reproduced himself with so much humble objectivity, with the unquestioning, matter of fact interest of a dog who sees himself in a mirror and thinks: there's another dog.
30625	Rainer Maria Rilke	Perhaps everything terrible is in its deepest being something helpless that wants help from us.
30626	Rainer Maria Rilke	Surely all art is the result of one's having been in danger, of having gone through an experience all the way to the end, where no one can go any further.
30627	Rainer Maria Rilke	Works of art are of an infinite lonelines s and with nothing so little to be reached as with criticism. Only love can grasp and hold and be just toward them.
30628	Rainer Maria Rilke	There are no classes in life for beginners; right away you are always asked to deal with what is most difficult.
