id	author	quote
39116	Zac Efron	I think if you're fame-hungry, go out to a nightclub and get drunk... why do that? I don't understand how some people would want fame so bad that they'd go out and get negative attention to earn it.
39117	Zac Efron	Honestly, if the worst these people can say about me is that I'm gay, then I think I'll be fine. I can handle it.
39118	Zac Efron	If I splurge on anything, it's cologne. I love smelling good.
39119	Zac Efron	Don't get me wrong - I've gone to a club. But I'd much rather be with my close friends at home or a concert, or on a trip. I'll go dancing with my grandma. She likes to cut a rug!
39120	Zac Efron	I feel disconnected, like I don't know where I am, if I'm on my phone too much. I'm also just the type to call. I'm not good on text.
39121	Zac Efron	A girl can tell I like her when I blush or start telling bad jokes.
39122	Zac Efron	I usually spend Valentines Day with my friends. But if I did have a girlfriend, I'd bring her flowers and candy.
39123	Zac Efron	One time I went into a restroom and a girl followed me in. I signed an autograph for her in the sink. It was pretty funny because she was in a guy's restroom and she wasn't embarrassed at all.
39124	Zac Efron	I'll never try to put on a fake image. I'm just Zac.
39125	Zac Efron	I wore goofy hats to school and did musical theater. Most people thought I was a dork. But if you have a sense of humor about it, no one can bring you down.
39126	Zac Efron	I love action-adventure-type films - mythical adventures like 'Lord of the Rings' or superhero films like 'Batman.'
39127	Zac Efron	I like to go and do something adventurous. I like to go out and do some sort of crazy activity.
39128	Zac Efron	A fan sent me a letter and a $10 bill. It's a short letter - all she said was, 'Hey, since it's harder for you to go out these days without getting photographed, here $10 for a pizza.' I was like, 'Aww, she sent me money for a pizza so I could eat at home!'
39129	Zac Efron	Dating is kind of hard. Like dinner or something like that. Like a forced awkward situation is very strange. Especially for me, for some reason.
39130	Zach Galifianakis	Inappropriateness is funny to me. Rudeness is hilarious.
39131	Zach Galifianakis	I used to be really cute. I could send you earlier photos where I'm stunning. But I've gained about twenty pounds over the past two years, and the more weight I've put on, the more success I've had. If you drew a diagram of weight gain and me getting more work, a mathematician would draw some conclusions from that.
39132	Zach Galifianakis	I think if they put a laugh track on 'Intervention,' it would be funny.
39133	Zach Galifianakis	My name is Zach Galifianakis and I hope I'm pronouncing that right. I'm named after my granddad, my middle name. My name is Zach Granddad Galifianakis.
39134	Zach Galifianakis	My forte is awkwardness.
39135	Zach Galifianakis	You know, sometimes if you work - if you do a lot of takes and you work long hours, for me, at least, there is a delirium that starts kicking in on the fifteenth hour, and that can help. Below the just thirteenth hour is where I have a concern, because everybody's so tired.
39136	Zach Galifianakis	I kind of put myself out there as is. I'm a quiet person. I don't know if that's surprising. I'm a Pilates junkie.
39137	Zach Galifianakis	That's one of the great things about comedy: we can - and should - say the things that other people aren't supposed to say. If we didn't do that, if we didn't push against those limits, we'd just be standing around onstage and yelling.
39138	Zach Galifianakis	I don't like cursing in movies. I feel like cursing has become the new hackiness. You try to find substitutions for cursing.
39139	Zach Galifianakis	It's not good for comedy to be like, 'Thanks for liking me.' Being popular is poison.
39140	Zach Galifianakis	I have a 60-acre farm in North Carolina, and I have a tractor and a farmhouse. As soon as I groom the land, I want to put cabins around and have a place where people can write and hang out. It'll be either that or an all-black nudist colony.
39141	Zach Galifianakis	When I was in high school I used to sit by myself in the cafeteria - not necessarily by choice - but I thought it was funny to talk to people that weren't there.
39142	Zach Galifianakis	I like dark comedies. That's why I like the Wayans Brothers.
39143	Zach Galifianakis	That show, 'The Amazing Race' - is that about white people?
39144	Zach Galifianakis	Hollywood's built on insecurity. People are trying to prove things. And I probably have that. I probably do. Probably guilty of it, in a way.
39145	Zach Galifianakis	I would have changed my last name if being famous were my goal.
39146	Zach Galifianakis	I'm not versed enough in constitutional law to run for office. I'd have to go back to school or something.
39147	Zach Galifianakis	I wish I could sit back and say, 'Oh, I'm gonna wait for a Merchant-Ivory film to come my way. Or Ivory-Merchant. Whatever it's called. But you just take what's given and then, hopefully, down the road you can be more choosy and only do, say, Wayans brothers movies. That's my goal: to be more Merchant-Ivory-Wayans.
39148	Zach Galifianakis	We all know how funny Morrissey is. Actually, you know what? I say that sarcastically. His songs are some of the funniest songs I've ever heard in my life. I mean, really. I mean, not that the 'Girlfriend in a Coma' is, like, really funny.
39149	Zach Galifianakis	My dad doesn't get any of my jokes. He laughs at them, but he doesn't understand them. He's just laughing because people around him are laughing.
39150	Zach Galifianakis	Privacy is big for me. To do interviews even, I have a very love/hate with it.
39151	Zach Galifianakis	Reciting lines is hard; making stuff up is much, much easier.
39152	Zach Galifianakis	When I do stand-up for a long time, I'll get burned out, then I'll get an acting gig. For me, the grass is always greener. I'd like to do a mixture of all of it. My goal is just to do small movies that I've written. That's what I'm trying to do now, just write smaller movies.
39153	Zach Galifianakis	As a comic, it's anti-comedy to be known. I think a lot of comedic actors get lost in this world of Hollywood and all this stuff. They lose what brought them there in the first place. I'm very trepidatious about it.
39154	Zach Galifianakis	People get TV deals by doing something in their grandmother's basement. It is definitely the wave. Everybody is trying to do all that stuff. I mean, the Internet is the only reason that I've gotten work is because I've somehow created a line and people have seen it. And then I've been asked to auditions.
39155	Zaha Hadid	I don't think that architecture is only about shelter, is only about a very simple enclosure. It should be able to excite you, to calm you, to make you think.
39156	Zaha Hadid	Architecture is how the person places herself in the space. Fashion is about how you place the object on the person.
39157	Zaha Hadid	When you are overworked and exhausted, there is a sense of kind of delirium and that's why I think architects do all-nighters and they kind of do those deadlines. For four days I remember doing four nights in one row with no sleep. I mean nobody, unless you are crazy, would do that, but you are totally focused on the project.
39158	Zaha Hadid	I have always appreciated those who dare to experiment with materials and proportions.
39159	Zaha Hadid	Of course I believe imaginative architecture can make a difference to people's lives, but I wish it was possible to divert some of the effort we put into ambitious museums and galleries into the basic architectural building blocks of society.
39160	Zaha Hadid	Good education is so important. We do need to look at the way people are taught. It not just about qualifications to get a job. It's about being educated.
39161	Zaha Hadid	Contrary to popular view, I've never been patronized in the Middle East. Men maybe treat women differently, but they do not treat them with disrespect. They don't hate women. It's a very different kind of mentality.
39162	Zaha Hadid	For many years, I hated nature. As a student, I refused to put a plant anywhere - a living plant, that is. Dead plants were OK.
39163	Zaha Hadid	Education, housing and hospitals are the most important things for society.
39164	Zaha Hadid	People don't talk to you properly. It's the way they talk to you; they dismiss you. I think it's a combination of me being a woman and a foreigner.
39165	Zaha Hadid	I find industrial cities exciting. I like their toughness.
39166	Zaha Hadid	I don't think that everybody in the planet should have a child. I've never had the desire I should have a kid.
39167	Zaha Hadid	Half of architecture students are women, and you see respected, established female architects all the time.
39168	Zaha Hadid	I am equally proud of all of my architectural projects. It's always rewarding to see an ambitious design become reality.
39169	Zaha Hadid	I am sure that as a woman I can do a very good skyscraper.
39170	Zaha Hadid	I love driving around east London - it's always full of surprises. Actually, I don't drive myself - I like to be driven.
39171	Zaha Hadid	I'm a pushover. I make allowances for people if I like them.
39172	Zaha Hadid	I'm into fashion because it contains the mood of the day, of the moment - like music, literature, and art.
39173	Zaha Hadid	Life in the Middle East is quite different from other places.
39174	Zaha Hadid	Like men, women have to be diligent and work hard.
39175	Zaha Hadid	Obviously for some people there is a big connection between music and the way you can create a space.
39176	Zaha Hadid	What's nice about concrete is that it looks unfinished.
39177	Zaha Hadid	Would they call me a diva if I were a guy?
39178	Zaha Hadid	As a woman, I'm expected to want everything to be nice and to be nice myself. A very English thing. I don't design nice buildings - I don't like them. I like architecture to have some raw, vital, earthy quality.
