id	author	quote
35278	Susan Ertz	Someone has somewhere commented on the fact that millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon.
35299	Susannah Centlivre	'Tis my opinion every man cheats in his way, and he is only honest who is not discovered.
35300	Susie Orbach	Fat Is a Feminist Issue.
35326	Suzanne K. Langer	Art is the objectification of feeling, and the subjectification of nature.
35327	Suzanne La Follette	Most people, no doubt, when they espouse human rights, make their own mental reservations about the proper application of the word  human.
35411	Sylvia Plath	Dying Is an art, like everything else. I do it exceptionally well.
35473	T.E. Lawrence	All men dream: but not equally. Those who dream by night in the dusty recesses of their minds wake in the day to find that it was vanity: but the dreamers of the day are dangerous men, for they may act their dreams with open eyes, to make it possible.
35717	Ted Shawn	Dance is the only art of which we ourselves are the stuff of which it is made.
35815	Tertullian	It is certain because it is impossible.
35899	Theodore Dreiser	Our civilization is still in a middle stage, scarcely beast, in that it is no longer wholly guided by instinct; scarcely human, in that it is not yet wholly guided by reason.
35900	Theodore Reik	In our civilization, men are afraid that they will not be men enough and women are afraid that they might be considered only women.
35901	Theodore Roethke	So much of adolescence is an ill-defined dying, An intolerable waiting, A longing for another place and time, Another condition.
35930	Theophrastus	Ah, yes, superstition: it would appear to be cowardice in face of the supernatural.
35956	Thomas Adams	The ambitious climbs up high and perilous stairs, and never cares how to come down; the desire of rising hath swallowed up his fear of a fall.
35982	Thomas B. Reed	One of the greatest delusions in the world is the hope that the evils in this world are to be cured by legislation.
35983	Thomas Babington Macaulay	Nothing is so useless as a general maxim.
35984	Thomas Bailey Aldrich	No bird has ever uttered note That was not in some first bird's throat; Since Eden's freshness and man's fall No rose has been original.
36058	Thomas D'Urfey	The worth of a thing is known by its want.
36059	Thomas De Quincey	Thou hast the keys of Paradise, O just, subtle, and mighty opium!
36060	Thomas Dekker	O what a heaven is love! O what a hell!
36063	Thomas Eakins	The big artist keeps an eye on nature and steals her tools.
36064	Thomas Edison	Genius is one percent inspiration and ninety-nine percent perspiration.
36065	Thomas Edward Brown	A Garden is a lovesome thing, God wot!
36111	Thomas Gold Appleton	Good Americans, when they die, go to Paris.
36122	Thomas Haynes Bayly	Absence makes the heart grow fonder, Isle of Beauty, fare thee well!
36134	Thomas Hood	There are three things which the public will always clamor for, sooner or later: namely, Novelty, novelty, novelty.
36200	Thomas Love Peacock	There are two reasons for drinking: one is, when you are thirsty, to cure it; the other, when you are not thirsty, to prevent it.
36201	Thomas Lovell Beddoes	If there were dreams to sell, What would you buy?
36233	Thomas More	The way to Heaven out of all places is of like length and distance.
36234	Thomas Morell	See the conquering hero comes! Sound the trumpets, beat the drums!
36235	Thomas Nashe	Beauty is but a flower Which wrinkles will devour; Brightness falls from the air.
36236	Thomas Osbert Mordaunt	One crowded hour of glorious life is worth an age without a name.
36237	Thomas Otway	Justice is lame as well as blind, amongst us.
36304	Thomas Russell Ybarra	A Christian is a man who feels Repentance on a Sunday For what he did on Saturday And is going to do on Monday.
36465	Timothy Leary	If you take the game of life seriously, if you take your nervous system seriously, if you take your sense organs seriously, if you take the energy process seriously, you must turn on, tune in and drop out.
36605	Tommaso Campanella	The world is a living image of God.
36872	Tristan Bernard	Men are always sincere. They change sincerities, that's all.
37113	Ursula K. Le Guin	What is more arrogant than honesty?
37156	Valentine Blacker	Put your trust in God, my boys, and keep your powder dry!
37227	Vera Brittain	Politics are usually the executive expression of human immaturity.
37253	Vernon Law	Experience is a hard teacher because she gives the test first, the lesson afterwards.
37269	Vicki Baum	Fame always brings loneliness. Success is as ice cold and lonely as the north pole.
37569	Violet Fane	Ah, “All things come to those who wait,”   (I say these words to make me glad),   But something answers, soft and sad, “They come, but often come too late.”
37862	W.E. Henley	It matters not how strait the gate, How charged with punishments the scroll, I am the master of my fate: I am the captain of my soul.
37880	W.H. Davies	What is this life if, full of care, We have no time to stand and stare.
37918	Walt Kelly	We have met the enemy and he is us.
38179	Werner Heisenberg	An expert is someone who knows some of the worst mistakes that can be made in his subject, and how to avoid them.
38180	Wernher von Braun	We can lick gravity, but sometimes the paperwork is overwhelming.
38183	Wilhelm Stekel	The mark of the immature man is that he wants to die nobly for a cause, while the mark of the mature man is that he wants to live humbly for one.
38368	William Bolitho	Adventure is the vitaminizing element in histories both individual and social.
38402	William Connor Magee	The man who makes no mistakes does not usually make anything.
38411	William Cowper Brann	No man can be a patriot on an empty stomach.
38421	William Daniels	He's computerized, but I won't let him come on cold. I created KITT. I understand the personality of the car.
38447	William Edward Hickson	If at first you don't succeed, Try, try again.
38459	William Ernest Hocking	Man is the only animal that contemplates death, and also the only animal that shows any sign of doubt of its finality.
38460	William Ewart Gladstone	All the world over, I will back the masses against the classes.
38600	William III	Every bullet has its billet.
38601	William J. Gaynor	The world does not grow better by force or by the policeman's club.
38643	William Learned Marcy	To the victor belong the spoils of the enemy.
38657	William Lyon Phelps	You can learn more about human nature by reading the Bible than by living in New York.
38750	William Ross Wallace	For the hand that rocks the cradle Is the hand that rules the world.
38801	William Sharp	My heart is a lonely hunter that hunts on a lonely hill.
38802	William Thomas Cummings	There are no atheists in the foxholes.
38803	William Watson	April, April, Laugh thy girlish laughter; Then, the moment after, Weep thy girlish tears!
39020	Wyatt Earp	Fast is fine, but accuracy is everything.
39180	Zelda Fitzgerald	We grew up founding our dreams on the infinite promise of American advertising.
39269	Émile Coué	Every day, in every way, I am getting better and better.
