author	pg_id	title	gitenberg_repo	status	reason	bytes	sha256	text_file
George Meredith	4497	The Sentimentalists	The-Sentimentalists_4497	fetched		62742	0fcbd9055cd0f3012b1be32dfee060cff2edb3d3805a859c458b34b7deeee290	4497.txt
George Meredith	4498	Miscellaneous Prose	Miscellaneous-Prose_4498	fetched		134359	af9370251171bf0246fc6425835518093af773549ee66ff8377cdf3829b72325	4498.txt
George Meredith	4499	Complete Short Works of George Meredith	Complete-Short-Works-of-George-Meredith_4499	fetched		1010877	53dcd700368631fd3bed684cb2bc7e96bd819791a5229905afdc1d4710e66d58	4499-0.txt
George Meredith	4500	Complete Project Gutenberg Works of George Meredith	Complete-Project-Gutenberg-Works-of-George-Meredith_4500	fetched		14957982	00c5ad4cb3d211467f0267ace5604e80bd4731e1a47387dde4c581277d0d7b76	4500.txt
George Meredith	4904	Quotations from the Project Gutenberg Editions of the Collected Works of George Meredith	Quotations-from-the-Project-Gutenberg-Editions-of-the-Collected-Works-of-George-Meredith_4904	fetched		272581	710559279c52f55bec9d34bb42aa08162e377286df669812d870f21a34cf09c8	4904.txt
George Meredith	7550	Quotes and Images From The Works of George Meredith	Quotes-and-Images-From-The-Works-of-George-Meredith_7550	fetched		106034	b4b98d9a07cc351c688d050c8c83bf86389e43732cae6db140e1c7dfd91486cf	7550.txt
George Meredith	28823	The Works of George Meredith: A Linked Index to the Project Gutenberg Editions	The-Works-of-George-Meredith-A-Linked-Index-to-the-Project-Gutenberg-Editions_28823	unavailable				
George Meredith	34858	The Ordeal of Richard Feverel: A History of a Father and Son	The-Ordeal-of-Richard-Feverel-A-History-of-a-Father-and-Son_34858	unavailable				
George Meredith	47225	Ballads and Poems of Tragic Life	Ballads-and-Poems-of-Tragic-Life_47225	fetched		123487	d8a47daee6515d301788a54793bad7e87d17d014f654ea24293d51d66ddfd7d4	47225-8.txt
George Meredith	63672	Poems and Lyrics of the Joy of Earth	Poems-and-Lyrics-of-the-Joy-of-Earth_63672	fetched		141077	9ebbe108f440caa552ae38b8d96a168cbc58a43a556a0488851d3063e4aae965	63672-0.txt
George Moore	4034	The Untilled Field	The-Untilled-Field_4034	fetched		554580	d7545f092cf66f9698765ccd16c94447f55508a731675b2e946b4a4476552cfb	4034.txt
George Moore	6005	Celibates	Celibates_6005	fetched		543795	87b22ea18afec550560879d9068004a9a311168e8b2e20062edd24fdecf28bc1	6005.txt
George Moore	6029	Spring Days	Spring-Days_6029	fetched		564348	e8523b1a309076cff55d6296d8a9244af8a804ddcbae7baac1dcfaf4ca5f5813	6029-0.txt
George Moore	7508	A Mummer's Wife	A-Mummer-s-Wife_7508	fetched		808531	e4f3e5f7eacb1fe44a7feb5c296a7701c4c1eb8fc9ce9a5f2886f1e616764310	7508-8.txt
George Moore	7789	Memoirs of My Dead Life	Memoirs-of-My-Dead-Life_7789	fetched		567049	66a3449af06c5e1a5f3236779306c184a936c56c651dc0badc2d108e2b012766	7789-8.txt
George Moore	8157	Esther Waters	Esther-Waters_8157	fetched		777457	924e2ea89de566a326806eb08f52e9da987b4a301540b37a682bb34ef38b6e3e	8157-8.txt
George Moore	8162	Modern Painting	Modern-Painting_8162	fetched		462498	f1ccb7f7a8a66a8686b25db6fd3490293d034ef230b38acb76c244d37fddab79	8162-8.txt
George Moore	11303	Vain Fortune: A Novel	Vain-Fortune-A-Novel_11303	unavailable				
George Moore	11304	The Lake	The-Lake_11304	fetched		436035	01653c2b356700839b15e3d4687f9d3c00e80d8f09568b2959b64719d323a88e	11304-8.txt
George Moore	11654	Confessions of a Young Man	Confessions-of-a-Young-Man_11654	fetched		369041	8af90a9eaba5a531abbc067553982695ffc9eed6c089e27bb790ca844aa16fd6	11654-8.txt
George Moore	11733	A Mere Accident	A-Mere-Accident_11733	fetched		290853	f9d523c7cee3531a00a264976a5b8518ccba9a805a5afded7119c7e7c6322f8e	11733-8.txt
George Moore	12278	Confessions of a Young Man	Confessions-of-a-Young-Man_12278	fetched		392432	c44747e67b7963485ab3c0a6134af4ba4e77d9a7adfa9ffd31ce75d0ec2612e0	12278-0.txt
George Moore	12821	The Brook Kerith: A Syrian story	The-Brook-Kerith-A-Syrian-story_12821	unavailable				
George Moore	13095	Journal of a Voyage across the Atlantic	Journal-of-a-Voyage-across-the-Atlantic_13095	unavailable				
George Moore	13201	Evelyn Innes	Evelyn-Innes_13201	fetched		1009028	4692608587dbcf9eae7a5557414a55a240ac16753b04a7fff1eeab14ff8d8c05	13201.txt
George Moore	14614	Sister Teresa	Sister-Teresa_14614	fetched		657684	e5e193cb55fa85c0d48c94a2aa1f001d1459e17b55726d309436a3ea5fa3a2bc	14614-8.txt
George Moore	14659	Muslin	Muslin_14659	fetched		574128	3d31da158eb8db77e01d4fd48e9c93adb5e519b92d10110a9f205a469ccea5e4	14659-8.txt
George Moore	16730	Mike Fletcher: A Novel	Mike-Fletcher-A-Novel_16730	unavailable				
Gustave Flaubert	1253	A Simple Soul	A-Simple-Soul_1253	fetched		90018	c45818fbb17f18fd8bbec714d65ffbba51dc2cb671e99c2c4564a17465fe2e8d	1253-0.txt
Gustave Flaubert	1290	Salammbo	Salammbo_1290	fetched		645642	6810f7f2af36ea6c71b7e8e0fb0042bf5bfec61a4ee704c70acd2d08c2a9bf31	1290-0.txt
Gustave Flaubert	1291	Herodias	Herodias_1291	fetched		99727	abb5e4d7cc9a5e6563e1341a67b01ecaf7a50ac9c989f251fd7332362a2cfd7b	1291-0.txt
Gustave Flaubert	2413	Madame Bovary	Madame-Bovary_2413	fetched		694672	eed993bd0fa82d5c6ea34ef7e78e01fa3d3bc7dbba88c45939f4738ce9e2a66e	2413-0.txt
Gustave Flaubert	10458	Three short works	Three-short-works_10458	unavailable				
Gustave Flaubert	14233	Over Strand and Field: A Record of Travel through Brittany	Over-Strand-and-Field-A-Record-of-Travel-through-Brittany_14233	unavailable				
Gustave Flaubert	21604	Three Short Works	Three-Short-Works_21604	unavailable				
Gustave Flaubert	25014	Bouvard and Pécuchet: A Tragi-comic Novel of Bourgeois Life, part 1	Bouvard-and-Pecuchet-A-Tragi-comic-Novel-of-Bourgeois-Life-part-1_25014	unavailable				
Gustave Flaubert	25053	The Temptation of St. Antony; Or, A Revelation of the Soul	The-Temptation-of-St-Antony-Or-A-Revelation-of-the-Soul_25053	unavailable				
Gustave Flaubert	27537	Sentimental Education; Or, The History of a Young Man. Volume 2	Sentimental-Education-Or-The-History-of-a-Young-Man-Volume-2_27537	unavailable				
Gustave Flaubert	27575	Madame Bovary: A Tale of Provincial Life, Vol. 1 (of 2)	Madame-Bovary-A-Tale-of-Provincial-Life-Vol-1-of-2_27575	unavailable				
Gustave Flaubert	34828	Sentimental Education; Or, The History of a Young Man. Volume 1	Sentimental-Education-Or-The-History-of-a-Young-Man-Volume-1_34828	unavailable				
Gustave Flaubert	46909	Bouvard and Pécuchet: A Tragi-comic Novel of Bourgeois Life, part 2	Bouvard-and-Pecuchet-A-Tragi-comic-Novel-of-Bourgeois-Life-part-2_46909	unavailable				
Gustave Flaubert	52225	The Temptation of St. Anthony	The-Temptation-of-St-Anthony_52225	fetched		331682	38304137e2c9a7fb1d8d23dfafdd7703b7a4030fd9401f5ea1b3ca4fbe029168	52225.txt
Gustave Flaubert	59507	Index of the Project Gutenberg Works of Gustave Flaubert	Index-of-the-Project-Gutenberg-Works-of-Gustave-Flaubert_59507	fetched		29421	9c286b5734c65d992378ab1d49a3a84acfccdb34a05d3a3712012df78db57248	59507-0.txt
Harold Acton	59125	Aquarium	Aquarium_59125	fetched		72798	c84cad6b26235b4146ccdd54c487cd108c9ad7b7e75690448b89e2a0a2e936b3	59125-0.txt
Harold Acton	67441	An Indian Ass	An-Indian-Ass_67441	fetched		89681	b5aa5b353e4b5e64d4121d115bbd97fde622170d3a7efb81632bdca6faa71b19	67441-0.txt
Herbert Spencer	5849	The Philosophy of Style	The-Philosophy-of-Style_5849	fetched		93586	043e8543d8f82510e0f8d1253e14f8befd3575075c00e6768e53d2287d7744d7	5849.txt
Herbert Spencer	16510	Essays on Education and Kindred Subjects	Essays-on-Education-and-Kindred-Subjects_16510	unavailable				
Herbert Spencer	28909	The Philosophy of Style	The-Philosophy-of-Style_28909	unavailable				
Herbert Spencer	29869	Essays: Scientific, Political, & Speculative; Vol. 1 of 3	Essays-Scientific-Political-Speculative-Vol-1-of-3_29869	unavailable				
Herbert Spencer	34649	The Right to Ignore the State	The-Right-to-Ignore-the-State_34649	fetched		49246	f6cc38518ad3cb66535bab5bc6b0fd2dbcc5e4630b861f74a55dbd22a7acf008	34649.txt
Herbert Spencer	39977	Illustrations of Universal Progress: A Series of Discussions	Illustrations-of-Universal-Progress-A-Series-of-Discussions_39977	unavailable				
Herbert Spencer	46129	The Data of Ethics	The-Data-of-Ethics_46129	fetched		601605	606d58e98b7a5b9505a3d17c559c304f5812754a453497bc78b4c3ed89eebaf0	46129.txt
Herbert Spencer	52801	The Factors of Organic Evolution	The-Factors-of-Organic-Evolution_52801	fetched		189267	41ba09b4684b84bbe4f8ecac35535260df63e18709c7315239d0342e80295c7c	52801-0.txt
Herbert Spencer	53395	Essays: Scientific, Political, & Speculative; Vol. 2 of 3	Essays-Scientific-Political-Speculative-Vol-2-of-3_53395	unavailable				
Herbert Spencer	54076	Essays: Scientific, Political, & Speculative; Vol. 3 of 3	Essays-Scientific-Political-Speculative-Vol-3-of-3_54076	unavailable				
Herbert Spencer	54612	The Principles of Biology, Volume 1 (of 2)	The-Principles-of-Biology-Volume-1-of-2_54612	fetched		1572927	c9ccd9928acfaac3e64f8ca861e0b2e99c1b96eb8b4e8c1c7e8cf1b1ea8ebe8f	54612-8.txt
Herbert Spencer	55046	First Principles	First-Principles_55046	fetched		1077486	740028c9d03de6faed5c3ba33e236bc714c8f5f8bb9bfbc2826651fe12709022	55046-0.txt
Herbert Spencer	59393	Index of the Project Gutenberg Works of Herbert Spencer	Index-of-the-Project-Gutenberg-Works-of-Herbert-Spencer_59393	fetched		27501	545c768d78440423872620fabbc0272bafb10324c392fedabb6c8a45917093b9	59393-0.txt
Herbert Spencer	67282	The Principles of Biology, Volume 2 (of 2)	The-Principles-of-Biology-Volume-2-of-2_67282	fetched		1468617	7b794c02074b2a5d1c43f5b021fa8248e0036c81c3720cb26e5a9b769a1a9275	67282-0.txt
Hermann Hesse	2500	Siddhartha	Siddhartha_2500	fetched		241213	95758693bbeb0774777f8462c388c1e3f9adeffdf656001894b67264b8491b7e	2500-8.txt
Hermann Hesse	58344	Siddhartha: A Poem of India	Siddhartha-A-Poem-of-India_58344	fetched		261425	306da78a6808964551d10877716d6a6454d63f58d527afa810494f551951ec60	58344-0.txt
Horace Smith	3769	Rejected Addresses; Or, The New Theatrum Poetarum	Rejected-Addresses-Or-The-New-Theatrum-Poetarum_3769	fetched		213276	55b3b7cc1bee35d18508cff9b2613cf3ac88cefbc6a66916cc37df099d81a6d5	3769-0.txt
Horace Smith	17065	Interludes	Interludes_17065	unavailable				
Irwin Edman	22306	Human Traits and their Social Significance	Human-Traits-and-their-Social-Significance_22306	fetched		1037870	b02fc4357ccc5a701b73e6917fc34bf8c1ae063e01a4565be64e45a0193e6877	22306.txt
James Baker	53904	Slavery	Slavery_53904	fetched		65901	c95675e09bc0ec44906e19287b3f9c15a706a7969766f46e79ba83aa23141dfd	53904.txt
James Hall	30763	Am I Still There?	Am-I-Still-There_30763	unavailable				
James Mackintosh	29372	A Discourse on the Study of the Law of Nature and Nations	A-Discourse-on-the-Study-of-the-Law-of-Nature-and-Nations_29372	fetched		119378	ca8da090114f00101030cec4ba6747b96764dca013dc79c4ed2a8dd694092379	29372.txt
James Norman Hall	19655	Kitchener's Mob: Adventures of an American in the British Army	Kitchener-s-Mob-Adventures-of-an-American-in-the-British-Army_19655	unavailable				
James Norman Hall	24570	High Adventure: A Narrative of Air Fighting in France	High-Adventure-A-Narrative-of-Air-Fighting-in-France_24570	unavailable				
James Norman Hall	54479	Faery Lands of the South Seas	Faery-Lands-of-the-South-Seas_54479	fetched		596769	55f9af279ce4590a1662bcddc74fa96cb38189c4d2f08227c03ac7fa413e128c	54479-0.txt
James Norman Hall	56457	Faery Lands of the South Seas	Faery-Lands-of-the-South-Seas_56457	fetched		590228	9ad33e99814749d9b6d28a759f53f3954dcbb13cda3e624a0792eef9144e5e05	56457-0.txt
James Otis	4293	Neal, the Miller: A Son of Liberty	Neal-the-Miller-A-Son-of-Liberty_4293	unavailable				
James Otis	5882	A District Messenger Boy, and A Necktie Party	A-District-Messenger-Boy-and-A-Necktie-Party_5882	fetched		120719	36cf5d6705ee031093aedd2df8d2b46e27c5659457560befbca5e399f73496d9	5882.txt
James Otis	7465	Richard of Jamestown : a Story of the Virginia Colony	Richard-of-Jamestown-a-Story-of-the-Virginia-Colony_7465	unavailable				
James Otis	7478	Toby Tyler; Or, Ten Weeks with a Circus	Toby-Tyler-Or-Ten-Weeks-with-a-Circus_7478	unavailable				
James Otis	10086	The Minute Boys of the Mohawk Valley	The-Minute-Boys-of-the-Mohawk-Valley_10086	fetched		496825	df35a78aec429d5fb1e859257f8c8d70702e7785faae1a1f28d2a4cbb43028df	10086-8.txt
James Otis	21268	The Search for the Silver City: A Tale of Adventure in Yucatan	The-Search-for-the-Silver-City-A-Tale-of-Adventure-in-Yucatan_21268	unavailable				
James Otis	23627	Messenger No. 48	Messenger-No-48_23627	unavailable				
James Otis	24251	Left Behind; Or, Ten Days a Newsboy	Left-Behind-Or-Ten-Days-a-Newsboy_24251	unavailable				
